segment,sku,product,weight_kg,length_cm,width_cm,height_cm,cubic_m3,out_of_parcel_because
bulky,"MBPB3I101","3-In-1 Foam Plyometric Box - 34kg",35,77,52,62,0.248,"weight"
bulky,"MSLBSE03","Abductor & Adductor Machine Elite (Selectorize)",175,161.5,75.5,36,0.439,"weight + length + volume"
bulky,"MSWBFW02","Adjustable Utility Weight Bench Pro",39,138,25,47,0.162,"weight + length"
bulky,"MCBIAR01","Air Bike Classic",52,127,28,89,0.316,"weight + length + volume"
bulky,"MCBIAR03","Air Bike Elite",89,127,46,89,0.520,"weight + length + volume"
bulky,"MCBIAR02","Air Bike Pro",54,145,39,96,0.543,"weight + length + volume"
bulky,"MCBIAR05","Air Cycle Elite",66,137,42,110,0.633,"weight + length + volume"
bulky,"MCBIAR04","Air Cycle Pro",66,137,42,110,0.633,"weight + length + volume"
bulky,"MCRWAR03","Air Rower Elite",51,146,66,38,0.366,"weight + length + volume"
bulky,"MCRWAR01","Air Rower Pro",51,146,66,38,0.366,"weight + length + volume"
bulky,"MRSPSE01","All-In-One Trainer",450,240,85,55,1.122,"weight + length + volume"
bulky,"MEFRBB04","Barbell Storage Box (9 Bar Holder)",26,46,46,26,0.055,"weight"
bulky,"MEFRBB05","Barbell Storage Box (9 Bar Holder) - Versatile",27,46,46,26,0.055,"weight"
bulky,"AEFRBB01","Barbell Storage Box (9 Bar Holder) - Versatile",27,46,46,26,0.055,"weight"
bulky,"MMPACE101","Chrome 110 Dumbbells (1kg-10kg Pairs)",120,100,100,50,0.500,"weight + volume"
bulky,"MMPACE102","Chrome 110 Dumbbells (1kg-10kg Pairs) & Rack",158,175,46.5,16,0.130,"weight + length"
bulky,"MMPA25001","Competition Kettlebells (Set of 12) - 250kg & Rack",300,63,42,56,0.148,"weight"
bulky,"MMPA3601","Competition Kettlebells (Set of 3) - 36kg",38,69,23,31,0.049,"weight"
bulky,"MMPA7201","Competition Kettlebells (Set of 3) - 72kg",74,69,23,31,0.049,"weight"
bulky,"MMPA8001","Competition Kettlebells (Set of 5) - 80kg",87,138,23,31,0.098,"weight + length"
bulky,"MCTMSP02","Curved Treadmill Elite",601,185,91,56,0.943,"weight + length + volume"
bulky,"MCTMSP01","Curved Treadmill Pro",180,185,91,56,0.943,"weight + length + volume"
bulky,"MMPA5BL01","Dead Balls (Set of 5) - 81kg",86,130,29,29,0.109,"weight + length"
bulky,"MEWMACC03","Dip Bar Holder (Wall Mounted)",19,14,26.5,171,0.063,"length"
bulky,"MWWLMA01","Drop Pads (Pair)",24,76,61,16,0.074,"weight"
bulky,"ABEMMA01","EVA Exercise Mat",3,140,62,1.6,0.014,"length"
bulky,"MBEMMA01","EVA Exercise Mat",3,140,62,1.6,0.014,"length"
bulky,"MMFWTL01","Farmers Walk Handles (Pair)",26,182,13,23,0.054,"weight + length"
bulky,"MEWMBL01","Fitness Ball Storage Rack (Wall Mounted)",12,200,28,10,0.056,"length"
bulky,"MEFRBB02","Fixed Barbell Rack (10 Bar) 1.0",54,139,96,30,0.400,"weight + length + volume"
bulky,"MEFRBB03","Fixed Barbell Rack (10 Bar) 2.0",54,139,95,30,0.396,"weight + length + volume"
bulky,"MEFRBB01","Fixed Barbell Rack (5 Bar)",40,134,93,26,0.324,"weight + length + volume"
bulky,"MSWBFW01","Flat Utility Weight Bench Pro (Angled Legs)",26,118,52.5,46.2,0.286,"weight + length + volume"
bulky,"MEWMRL01","Foam Roller Storage Rack (Wall Mounted)",16,132.5,17.5,21,0.049,"length"
bulky,"MSCMDU01","Functional Trainer Pro",432,241.5,122.5,30.5,0.902,"weight + length + volume"
bulky,"MMGFPS02","Group Fitness Barbell Set - 37.5kg",39,52,26,15.5,0.021,"weight"
bulky,"MEFRPS01","Group Fitness Barbell Set Rack",34,146,71,18.5,0.192,"weight + length"
bulky,"MMPAPS01","Group Fitness Barbell Sets - 175kg & Rack",206,52,26,15.5,0.021,"weight"
bulky,"MMPAPS02","Group Fitness Barbell Sets - 375kg & Rack",408,52,26,15.5,0.021,"weight"
bulky,"MBASADJ01","Group Fitness Step (Adjustable)",13,120,31,20,0.074,"length"
bulky,"MSLBSE04","Hip Thrust Machine Elite (Selectorize)",220,161.5,75.5,35.5,0.433,"weight + length + volume"
bulky,"MEFRDB08","Horizontal Dumbbell Rack - 2 Tier (10 Pair) 1.0",66,222,27,14,0.084,"weight + length"
bulky,"MEFRDB11","Horizontal Dumbbell Rack - 2 Tier (10 Pair) 2.0",112,268,84,30,0.675,"weight + length + volume"
bulky,"MEFRDB07","Horizontal Dumbbell Rack - 2 Tier (5 Pair) 1.0",54,95,72,35,0.239,"weight"
bulky,"MEFRDB10","Horizontal Dumbbell Rack - 2 Tier (5 Pair) 2.0",68,148,84,30,0.373,"weight + length + volume"
bulky,"MEFRDB09","Horizontal Dumbbell Rack - 3 Tier (15 Pair)",136,250,50,30,0.375,"weight + length + volume"
bulky,"MEFRKB01","Kettlebell Rack (2 Tier) 2.0",33,90,80,14,0.101,"weight"
bulky,"MEFRKB02","Kettlebell Rack (2 Tier) 3.0",53,90,80,14,0.101,"weight"
bulky,"MEFRKB03","Kettlebell Rack (2 Tier) 4.0",53,90,80,14,0.101,"weight"
bulky,"MSBMSE04","Lat Pulldown & Seated Row Machine Elite (Selectorize)",363,181.5,75.5,40.5,0.555,"weight + length + volume"
bulky,"MSLBSE05","Leg Extension & Leg Curl Machine Elite (Selectorize)",382,181.5,75.5,40.5,0.555,"weight + length + volume"
bulky,"MSLBSE01","Leg Extension Machine Elite (Selectorize)",329,161.5,75.5,36,0.439,"weight + length + volume"
bulky,"AEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)",14,153,15,15,0.034,"length"
bulky,"MEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)",14,153,15,15,0.034,"length"
bulky,"MEFRBL02","Medicine Ball Rack - 10 Ball (Single Sided)",18,166,55,53,0.484,"length + volume"
bulky,"MEFRBL03","Medicine Ball Rack - 5 Ball (Single Sided)",16,162,84,51.5,0.701,"length + volume"
bulky,"MMPA5BL02","Medicine Balls (Set of 5) - 30kg",35,130,32,32,0.133,"weight + length"
bulky,"MEFRACC06","Modular Storage Rack - Complete (2/Dual Pipe, 2/Flat Shelf)",110,159.2,62,11,0.109,"weight + length"
bulky,"AEFRACC02","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)",95,132,40.4,6,0.032,"weight + length"
bulky,"MEFRACC01","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)",95,132,40.4,6,0.032,"weight + length"
bulky,"MEFRACC02","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (2m)",95,212,40.4,6,0.051,"weight + length"
bulky,"MEFRACC03","Modular Storage Rack Flat Shelf",19,160,63,6.5,0.066,"length"
bulky,"MEFRACC04","Modular Storage Rack Shelf Dual Pipe",11,151,29.5,6.5,0.029,"length"
bulky,"MEFRACC05","Modular Storage Rack Side (1582mm)",20,161,63,6.5,0.066,"length"
bulky,"MSCSSE04","Multi Press Machine Elite (Selectorize)",360,160,73,35,0.409,"weight + length + volume"
bulky,"AWBBOL03","Olympic Barbell - 15kg (1500Lb Capacity)",16,205,8,8,0.013,"length"
bulky,"MWBBOL03","Olympic Barbell - 15kg (1500Lb Capacity)",16,205,8,8,0.013,"length"
bulky,"MWBBOL04","Olympic Barbell - 20kg (2000Lb Capacity)",21,224,8,8,0.014,"length"
bulky,"MWBBOL02","Olympic Barbell - 7ft Chrome (1000Lb Capacity)",21,220.5,10,10,0.022,"length"
bulky,"MWBBOL01","Olympic Ez Curl Bar",10,122,8.5,8.5,0.009,"length"
bulky,"MWBBOL05","Olympic Hex Deadlift Barbell (350mm Loadable Sleeves)",23,163.5,57,16,0.149,"weight + length"
bulky,"MWBBOL06","Olympic Hex Deadlift Barbell (400mm Loadable Sleeves)",23,163.5,57,16,0.149,"weight + length"
bulky,"MEFROP01","Olympic Plate Toaster Rack Portable",22,155,40,27,0.167,"length"
bulky,"MRSPFW01","Olympic Power Rack 1.0",130,230,52,19,0.227,"weight + length"
bulky,"MRSPFW02","Olympic Power Rack 2.0",210,230,52,19,0.227,"weight + length"
bulky,"MRSPFW04","Olympic Power Rack 3.0",196,148,75,23,0.255,"weight + length + volume"
bulky,"MRSPFW05","Olympic Power Rack 4.0",224,115,42,29,0.140,"weight + length"
bulky,"MWBBOL08","Olympic Rickshaw Barbell (250mm Loadable Sleeves)",23,143.5,58,16,0.133,"weight + length"
bulky,"MWBBOL07","Olympic Safety Squat Bar (1500Lb Capacity)",30,230,42,6.5,0.063,"weight + length"
bulky,"MWBBOL09","Olympic Swiss Barbell - 20kg",27,214,8.5,8.5,0.015,"weight + length"
bulky,"MEFROP03","Olympic Weight Plate Tree (8 Storage Pins)",28,138,65,20,0.179,"weight + length"
bulky,"MEFROP02","Olympic Weight Plate Tree Portable (6 Storage Pins, 2 Bar Storage)",16,140,65,20,0.182,"length"
bulky,"MEFROP04","Olympic Weight Plate Tree Vertical (6 Storage Pins)",48,72,43,125,0.387,"weight + length + volume"
bulky,"MBPBMS01","Plyometric Box (Set of 4)",38,76,43,43,0.141,"weight"
bulky,"ABPBSB-06","Plyometric Foam Stacker Box- 24""",13,85,100,30.5,0.259,"volume"
bulky,"MMPA4BG01","Power Bags (Set of 4) - 70kg",74,65,24,24,0.037,"weight"
bulky,"MMSLSD01","Push &amp; Pull Sled",37,94.5,67,19,0.120,"weight"
bulky,"MRSPATT01","Rig Crossbeam Single Pipe - 1080mm",6,109,7.5,7.5,0.006,"length"
bulky,"MRSPATT02","Rig Crossbeam Single Pipe - 1520mm",3.44,153,7.5,7.5,0.009,"length"
bulky,"MRSPATT03","Rig Universal Upright",19,241,7.5,7.5,0.014,"length"
bulky,"MRSPATT06","Rig Wall Ball Target",19,42.5,41.8,115.1,0.204,"length"
bulky,"MWBBFRZ-GROUP","Rubber EZ Fixed Barbells",11,105.4,16.3,16.3,0.028,"length"
bulky,"MWBBFRU-GROUP","Rubber Fixed Barbells",11,105.4,16.3,16.3,0.028,"length"
bulky,"MSCSSE01","Shoulder Press Machine Elite (Selectorize)",365,161.5,75.5,36,0.439,"weight + length + volume"
bulky,"MCSTAR02","Ski Trainer Elite",53,118,61,47,0.338,"weight + length + volume"
bulky,"MCSTAR01","Ski Trainer Pro",49,118,61,47,0.338,"weight + length + volume"
bulky,"MSBMPL01","T-Bar Row Machine Pro (Incline)",328,146,93,40,0.543,"weight + length + volume"
bulky,"MWBBFUR-GROUP","Urethane Fixed Barbells",11,105.4,16.3,16.3,0.028,"length"
bulky,"MWBBFUR","Urethane Fixed Barbells",11,105.4,16.3,16.3,0.028,"length"
bulky,"MEWMOP01","Vertical Bumper Plate Rack 3 Tier (Wall Mounted)",13,120,38,17,0.078,"length"
