code,name,group,price,weight_kg,length_cm,width_cm,height_cm,has_woo_product,measured,card_ready
"ABCTDR01","Drop In Core Trainer","Body Weight",31.8182,3,43,8,8,true,true,true
"ABCTFS02","Core Trainer (Landmine) With T Bar Handle","Body Weight",134.0909,17,42,17,59,true,true,true
"ABEMMA01","EVA Exercise Mat","Body Weight",20.4545,3,140,62,1.6,true,true,true
"ABPBSB04","Foam Plyometric Box - 12""","Body Weight",150,13,850,1000,305,true,false,false
"ABRMRL03","Foam Roller - 45cm (Black)","Body Weight",22.7273,0,0,0,0,true,false,false
"ABRPBA01","Knitted Resistance Bands (Set of 3)","Body Weight",13.6364,1,34,24,2,true,true,true
"ABRPPO03","Power Bands - 13mm (Red)","Body Weight",4,0,0,0,0,true,false,false
"ABRPPO04","Power Bands - 21mm (Green)","Body Weight",5.25,0,0,0,0,true,false,false
"ABRPPO05","Power Bands - 32mm (Orange)","Body Weight",9,0,0,0,0,true,false,false
"ABRPPO06","Power Bands - 45mm (Blue)","Body Weight",10.75,0,0,0,0,true,false,false
"ABRPPO07","Power Bands - 64mm (Purple)","Body Weight",12.5,0,0,0,0,true,false,false
"ABRPPO08","Power Bands - 83mm (Black)","Body Weight",16,0,0,0,0,true,false,false
"ABSADI01","Mini Disc Cones (Set of 50)","Body Weight",15.9091,2,15,15,15,true,true,true
"ABSADO01","Station Markers (Set of 96) - Numbers","Body Weight",88.6364,0,0,0,0,true,false,false
"ABSADO02","Station Markers (Set of 15) - Boost","Body Weight",15.9091,0,0,0,0,true,false,false
"ABSADO03","Station Markers (Set of 15) - Rep","Body Weight",15.9091,0,0,0,0,true,false,false
"ABSADO04","Station Markers (Set of 15) - Neural","Body Weight",15.9091,0,0,0,0,true,false,false
"ABSADO05","Station Markers (Set of 15) - Form","Body Weight",15.9091,0,0,0,0,true,false,false
"ABSADO06","Station Markers (Set of 15) - Hero","Body Weight",15.9091,0,0,0,0,true,false,false
"ABSADO07","Station Markers (Set of 15) - Functional","Body Weight",15.9091,0,0,0,0,true,false,false
"ABSADO08","Station Markers (Set of 15) - Sherpa","Body Weight",15.9091,0,0,0,0,true,false,false
"ABSUTR01","Suspension Trainer","Body Weight",34.0909,6,23,23,9,true,true,true
"ACBIAR03","Air Plus Expert Bike (Including Smart Connect Console)","Cardio",999.545,0,0,0,0,false,false,false
"ACBIAR05","Spin Bike (Including Smart Connect Console)","Cardio",908.636,0,0,0,0,false,false,false
"ACTMSP02","Resistance Treadmill (Including Smart Connect Console)","Cardio",3449.5455,0,0,0,0,false,false,false
"AEBXACC02","Storage Bin (Aqua Colour)","Equipment Storage",15.9091,0,0,0,0,false,false,false
"AEFRACC02","Modular Storage Rack (Kettlebells, Dumbbells) - HD 2 Tier (1.2m)","Equipment Storage",579.5455,95,132,40.4,6,true,true,true
"AEFRBB01","Barbell Storage Box (9 Bar Holder) - Versatile","Equipment Storage",127.2727,27,46,46,26,true,true,true
"AEFRBL01","Medicine Ball Rack - 10 Ball (Double Sided)","Equipment Storage",90.4545,14,153,15,15,true,true,true
"AEFRDB06","Vertical Dumbbell Rack - Portable (Four Sided)","Equipment Storage",213.6364,53,115,56,25,true,true,true
"AEWMACC02","Rope & Band Rack (Wall Mounted)","Equipment Storage",31.8182,4,58,11,11,true,true,true
"AMBXG01","Cotton Inners (Fingerless, 100 Pair)","Mixed Implements",90.9091,0,0,0,0,true,false,false
