pile,sku,product,recorded_kg,recorded_l_cm,recorded_w_cm,recorded_h_cm,action
1-units,"SCRWAR04","C2 Rower Model D PM5 Black",32.9,2440,610,0,"suspected 244 x 61 x ?cm, confirm"
1-units,"SCSTACC04","C2 Ski Erg Floor Stand",17,1350,660,0,"suspected 135 x 66 x ?cm, confirm"
1-units,"SCSTAR03","C2 Ski Erg PM5",27.5,600,1270,0,"suspected 60 x 127 x ?cm, confirm"
1-units,"ABPBSB04","Plyometric Foam Stacker Box- 12""",13,850,1000,305,"suspected 85 x 100 x 31cm, confirm"
2-set,"MWPA15001","Coloured Bumper Plates (Set of 10) - 150kg",0,0,0,0,"decide how sets are quoted"
2-set,"MWPA9001","Coloured Bumper Plates (Set of 6) - 90kg",0,0,0,0,"decide how sets are quoted"
2-set,"MWPA10001","Coloured Bumper Plates (Set of 8) - 100kg",0,0,0,0,"decide how sets are quoted"
2-set,"MWPA14001","Coloured Bumper Plates (Set of 8) & 2.5kg Change Plates - 145kg",0,0,0,0,"decide how sets are quoted"
2-set,"MWPA15002","Competition Bumper Plates (Set of 10) - 150kg",0,0,0,0,"decide how sets are quoted"
2-set,"MWPA10002","Competition Bumper Plates (Set of 8) - 100kg",0,0,0,0,"decide how sets are quoted"
2-set,"MWPA14002","Competition Bumper Plates (Set of 8) - 140kg",0,0,0,0,"decide how sets are quoted"
2-set,"MMKBPGC-GROUP","Competition Kettlebells",0,0,0,0,"decide how sets are quoted"
2-set,"AMBXG01","Cotton Inners (Fingerless, 100 Pair)",0,0,0,0,"decide how sets are quoted"
2-set,"MWPA15003","Olympic Premium Rubber Weight Plates (3 Grip) (Set of 10) - 150kg",0,0,0,0,"decide how sets are quoted"
2-set,"MWPA10003","Olympic Premium Rubber Weight Plates (3 Grip) (Set of 8) - 100kg",0,0,0,0,"decide how sets are quoted"
2-set,"MMDBPRH-GROUP","Premium Rubber Hex Dumbbell",11,0,14,12.5,"decide how sets are quoted"
2-set,"MWPAFRU01","Rubber Fixed Barbells (Set of 10 Bars) & Rack",0,0,0,0,"decide how sets are quoted"
2-set,"MWPAFRU02","Rubber Fixed Barbells (Set of 5 Bars) & Rack",0,0,0,0,"decide how sets are quoted"
2-set,"MMDBRH-GROUP","Rubber Hex Dumbbells",0,0,0,0,"decide how sets are quoted"
2-set,"ABSADO02","Station Markers (Set of 15) - Boost",0,0,0,0,"decide how sets are quoted"
2-set,"ABSADO05","Station Markers (Set of 15) - Form",0,0,0,0,"decide how sets are quoted"
2-set,"ABSADO07","Station Markers (Set of 15) - Functional",0,0,0,0,"decide how sets are quoted"
2-set,"ABSADO06","Station Markers (Set of 15) - Hero",0,0,0,0,"decide how sets are quoted"
2-set,"ABSADO04","Station Markers (Set of 15) - Neural",0,0,0,0,"decide how sets are quoted"
2-set,"ABSADO03","Station Markers (Set of 15) - Rep",0,0,0,0,"decide how sets are quoted"
2-set,"ABSADO08","Station Markers (Set of 15) - Sherpa",0,0,0,0,"decide how sets are quoted"
2-set,"ABSADO01","Station Markers (Set of 96) - Numbers",0,0,0,0,"decide how sets are quoted"
3-measure,"ABRMRL03","Foam Roller - 45cm (black)",0,0,0,0,"measure carton and gross weight"
3-measure,"AMBXSY01","Focus Pads",0,0,0,0,"measure carton and gross weight"
3-measure,"MRSPFW03","Olympic Power Rack 2.0 Weight Plate Storage Rack Only",58,0,0,0,"measure carton and gross weight"
3-measure,"ABRPPO","Power Bands",0,0,0,0,"measure carton and gross weight"
3-measure,"AMDBRH","Rubber Hex Dumbbells",11,0,0,0,"measure carton and gross weight"
3-measure,"MCSTACC01","Ski Trainer Floor Stand",0,0,0,0,"measure carton and gross weight"
3-measure,"MWWAACC01","Weightlifting Belt",0,0,0,0,"measure carton and gross weight"
