*Product Code,Width,Height,Depth,Weight
ABPBSB04,85,30.5,100,13
AMDEHG02,24,24,24,7
AMDEHG03,24,24,24,10
AMDEHG04,29,29,29,13
AMDEHG05,29,29,29,16
AMKBUR01,22,29,22,9
AMKBUR02,22,29,22,11
AMKBUR03,22,29,22,13
AMKBUR04,22,29,22,17
AMKBUR05,22,29,22,21
AMKBUR06,22,29,22,25
FWWPOU09,33.2,5,33.2,11
FWWPOU10,36.5,5.4,36.5,16
FWWPOU12,41,5.9,41,21
FWWPOU13,43.5,6.1,43.5,26
FWWPOU14,26,4.7,26,6
MWWPOPR03,26,4.7,26,6
MWWPOPR04,33.2,5,33.2,11
MWWPOPR05,36.5,5.4,36.5,16
MWWPOPR06,41,5.9,41,21
MWWPOPR07,43.5,6.1,43.5,26
MWWPOU03,26,4.7,26,6
MWWPOU04,33.2,5,33.2,11
MWWPOU05,36.5,5.4,36.5,16
MWWPOU06,41,5.9,41,21
MWWPOU07,43.5,6.1,43.5,26
SWWPOPR03,26,4.7,26,6
SWWPOPR04,33.2,5,33.2,11
SWWPOPR05,36.5,5.4,36.5,16
SWWPOPR06,41,5.9,41,21
SWWPOPR07,43.5,6.1,43.5,26
SWWPOU03,26,4.7,26,6
SWWPOU04,33.2,5,33.2,11
SWWPOU05,36.5,5.4,36.5,16
SWWPOU06,41,5.9,41,21
SWWPOU07,43.5,6.1,43.5,26
