*Product Code,Width,Height,Depth,Weight
ABPBSB04,850,305,1000,13
AMDEHG02,240,240,240,7
AMDEHG03,240,240,240,10
AMDEHG04,290,290,290,13
AMDEHG05,290,290,290,16
AMKBUR01,220,290,220,9
AMKBUR02,220,290,220,11
AMKBUR03,220,290,220,13
AMKBUR04,220,290,220,17
AMKBUR05,220,290,220,21
AMKBUR06,220,290,220,25
FWWPOU09,332,50,332,11
FWWPOU10,365,54,365,16
FWWPOU12,410,59,410,21
FWWPOU13,435,61,435,26
FWWPOU14,260,47,260,6
MWWPOPR03,260,47,260,6
MWWPOPR04,332,50,332,11
MWWPOPR05,365,54,365,16
MWWPOPR06,410,59,410,21
MWWPOPR07,435,61,435,26
MWWPOU03,260,47,260,6
MWWPOU04,332,50,332,11
MWWPOU05,365,54,365,16
MWWPOU06,410,59,410,21
MWWPOU07,435,61,435,26
SWWPOPR03,260,47,260,6
SWWPOPR04,332,50,332,11
SWWPOPR05,365,54,365,16
SWWPOPR06,410,59,410,21
SWWPOPR07,435,61,435,26
SWWPOU03,260,47,260,6
SWWPOU04,332,50,332,11
SWWPOU05,365,54,365,16
SWWPOU06,410,59,410,21
SWWPOU07,435,61,435,26
