*Product Code,*Product Description,Notes,Barcode,Unit of Measure,Min Stock Alert Level,Max Stock Alert Level,Label Template,SO Label Template,PO Label Template,SO Label Quantity,PO Label Quantity,Supplier Code,Supplier Name,Supplier Product Code,Default Purchase Price,Minimum Order Quantity,Minimum Sale Quantity,Default Sell Price,Minimum Sell Price,Sell Price Tier 1,Sell Price Tier 2,Sell Price Tier 3,Sell Price Tier 4,Sell Price Tier 5,Sell Price Tier 6,Sell Price Tier 7,Sell Price Tier 8,Sell Price Tier 9,Sell Price Tier 10,Pack Size,Weight,Width,Height,Depth,Reminder,Last Cost,Nominal Cost,Comments,Copy Comments for Sales,Copy Comments for Purchases,Never Diminishing,Product Group,Product Sub Group,Product Brand,Sales Account,COGS Account,Purchase Account,Purchase Tax Type,Purchase Tax Rate,Sales Tax Type,Sale Tax Rate,IsAssembledProduct,IsComponent,IsObsoleted,Is Sellable,Is Purchasable,Default Purchasing Unit of Measure
ABPBSB04,"Foam Plyometric Box - 12""",,ABPBSB04,KG,,,,,,Order Quantity,Order Quantity,,,,,,,150.0000,0.0000,,,,,,,,,,,,13.000,85,30.5,100,,,,,False,False,No,Body Weight,Plyometric Boxes,AIR LOCKER,4130,5130,,,,,,No,Yes,No,Yes,Yes,KG
AMDEHG02,High Grip Dead Ball - 6kg,,AMDEHG02,KG,,,,,,Order Quantity,Order Quantity,,,,,,,18.1818,0.0000,,,,,,,,,,,,7.000,24,24,24,,,,,False,False,No,Mixed Implements,Dead Balls,AIR LOCKER,4210,5210,,,,,,No,Yes,No,Yes,Yes,KG
AMDEHG03,High Grip Dead Ball - 9kg,,AMDEHG03,KG,,,,,,Order Quantity,Order Quantity,,,,,,,20.4545,0.0000,,,,,,,,,,,,10.000,24,24,24,,,,,False,False,No,Mixed Implements,Dead Balls,AIR LOCKER,4210,5210,,,,,,No,Yes,No,Yes,Yes,KG
AMDEHG04,High Grip Dead Ball - 12kg,,AMDEHG04,KG,,,,,,Order Quantity,Order Quantity,,,,,,,25.0000,0.0000,,,,,,,,,,,,13.000,29,29,29,,,,,False,False,No,Mixed Implements,Dead Balls,AIR LOCKER,4210,5210,,,,,,No,Yes,No,Yes,Yes,KG
AMDEHG05,High Grip Dead Ball - 15kg,,AMDEHG05,KG,,,,,,Order Quantity,Order Quantity,,,,,,,31.8182,0.0000,,,,,,,,,,,,16.000,29,29,29,,,,,False,False,No,Mixed Implements,Dead Balls,AIR LOCKER,4210,5210,,,,,,No,Yes,No,Yes,Yes,KG
AMKBUR01,Urethane Competition Kettlebell - 8kg,,AMKBUR01,KG,,,,,,Order Quantity,Order Quantity,,,,,,,40.0000,0.0000,,,,,,,,,,,,9.000,22,29,22,,,,,False,False,No,Mixed Implements,Kettlebells,AIR LOCKER,4235,5235,,,,,,No,Yes,No,Yes,Yes,KG
AMKBUR02,Urethane Competition Kettlebell - 10kg,,AMKBUR02,KG,,,,,,Order Quantity,Order Quantity,,,,,,,52.2727,0.0000,,,,,,,,,,,,11.000,22,29,22,,,,,False,False,No,Mixed Implements,Kettlebells,AIR LOCKER,4235,5235,,,,,,No,Yes,No,Yes,Yes,KG
AMKBUR03,Urethane Competition Kettlebell - 12kg,,AMKBUR03,KG,,,,,,Order Quantity,Order Quantity,,,,,,,56.8182,0.0000,,,,,,,,,,,,13.000,22,29,22,,,,,False,False,No,Mixed Implements,Kettlebells,AIR LOCKER,4235,5235,,,,,,No,Yes,No,Yes,Yes,KG
AMKBUR04,Urethane Competition Kettlebell - 16kg,,AMKBUR04,KG,,,,,,Order Quantity,Order Quantity,,,,,,,72.7273,0.0000,,,,,,,,,,,,17.000,22,29,22,,,,,False,False,No,Mixed Implements,Kettlebells,AIR LOCKER,4235,5235,,,,,,No,Yes,No,Yes,Yes,KG
AMKBUR05,Urethane Competition Kettlebell - 20kg,,AMKBUR05,KG,,,,,,Order Quantity,Order Quantity,,,,,,,88.6364,0.0000,,,,,,,,,,,,21.000,22,29,22,,,,,False,False,No,Mixed Implements,Kettlebells,AIR LOCKER,4235,5235,,,,,,No,Yes,No,Yes,Yes,KG
