"*Product Code","Channel","Assembled size","Material","Colour","Warranty"
"MBPB3I101","public","W 610 × H 750 × D 510 mm","Hard wearing vinyl cover","Black","Internal Frame: 12 months, Cover: 3 months"
"RBPB3I101","portal","W 610 × H 750 × D 510 mm","Hard wearing vinyl cover","Black","Internal Frame: 12 months, Cover: 3 months"
"SBPB3I101","portal","W 610 × H 750 × D 510 mm","Hard wearing vinyl cover","Black","Internal Frame: 12 months, Cover: 3 months"
"MBPB3I102","public","W 609 × H 762 × D 508 mm","Plywood","Brown","12 months"
"SBPB3I102","portal","W 609 × H 762 × D 508 mm","Plywood","Brown","12"
"MBCTMA01","public","L 380 × W 300 × H 60 mm","Polyurethane","Black","6 months"
"RBCTMA01","portal","L 380 × W 300 × H 60 mm","Foam, Vinyl","Black","6 months"
"SBCTMA01","portal","L 380 × W 300 × H 60 mm","Polyurethane","Black","6"
"MBCTWH01","public","W 300 × H 180 × D 180 mm","PP & TPR","Black","3 months"
"SBCTWH01","portal","W 300 × H 180 × D 180 mm","PP & TPR","Black","3 months"
"MSLBSE03","public","L 1,536 × W 730 × H 1,689 mm","Steel, Foam, Artificial Leather, HDPE","Black","(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months"
"RSWBFW02","portal","L 1370 × W 730 × H 460 mm","Steel, Foam, Artificial Leather, HDPE","Black","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
"SSWBFW02","portal","L 1,370 × W 730 × H 460 mm","Steel, Foam, Artificial Leather, HDPE","Black","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
"MSWBFW02","public","L 1,370 × W 730 × H 460 mm","Steel, Foam, Artificial Leather, HDPE","Black","(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
"MCBIAR01","public","L 1,220 × W 650 × H 1,330 mm","30 x 60mm Oval Steel Tube","Black","5 Years Frame, 2 Years Non-Wearable Parts"
"MCBIAR03","public","L 1,220 × W 650 × H 1,330 mm","31 x 60mm Oval Steel Tube","Black","5 Years Frame, 2 Years Non-Wearable Parts"
"MCBIAR02","public","L 1,440 × W 660 × H 1,390 mm","32 x 60mm Oval Steel Tube","Black/Red","5 Years Frame, 2 Years Non-Wearable Parts"
"MCBIAR05","public","L 1,250 × W 520 × H 1,200 mm","Aluminium, Steel","Black","5 Years Frame, 2 Years Non-Wearable Parts"
"MCBIAR04","public","L 1,250 × W 520 × H 1,200 mm","Aluminium, Steel","Black","5 Years Frame, 2 Years Non-Wearable Parts"
"MCRWAR03","public","L 2,510 × W 506 × H 1,150 mm","Aluminium, Steel","Black/Grey","5 Years Frame, 2 Years Non-Wearable Parts"
"MCRWAR01","public","L 2,540 × W 510 × H 990 mm","Aluminium, Steel","Black/Grey","5 Years Frame, 2 Years Non-Wearable Parts"
"SRSPSE01","portal","L 1,740 × W 1,730 × H 2,240 mm","Steel, aluminium","Black, silver","10 years frame, 90 days cables and upholstery"
"MRSPSE01","public","L 1,740 × W 1,730 × H 2,240 mm","Steel, aluminium","Black, silver","10 years frame, 90 days cables and upholstery"
"SWWLATT01","portal","L 240 × W 4 × H 80 mm","Nylon","Black","3"
"MWWLATT01","public","L 240 × W 4 × H 80 mm","Nylon","Black","3 months"
"SMPWPBG05","portal","L 750 × W 200 × H 200 mm","Vinyl","Blue","3 months"
"MMPWPBG05","public","L 750 × W 200 × H 200 mm","Vinyl","Blue","3 months"
"SMBXPBG05","portal","L 530 × W 530 × H 530 mm","Vinyl","Black","6"
"MMBXPBG05","public","L 530 × W 530 × H 530 mm","Vinyl","Black","6 months"
"AMBXPBG03","public","L 530 × W 530 × H 530 mm","Vinyl","Black","6 months"
"RFATSY01","portal","L 10,000 × W 2,000 × H 10 mm","Synthetic grass","Black","12"
"RFATSY02","portal","L 10,000 × W 2,000 × H 10 mm","Synthetic grass","Black","12"
"SFATSY02","portal","L 15,000 × W 2,000 × H 15 mm","Synthetic grass","Blue","12"
"MBBSCU01","public","W 330 × H 60 × D 330 mm","PVC","Blue","3 months"
"SBBSCU01","portal","W 330 × H 60 × D 330 mm","PVC","Blue","3 months"
"SWWLACC01","portal","L 435 × W 100 × H 100 mm","Foam","Black","3"
"RWWLACC01","portal","L 435 × W 100 × H 100 mm","Foam","Black","3 months"
"MWWLACC01","public","L 435 × W 100 × H 100 mm","Foam","Black","3 months"
"REFRBB02","portal","L 450 × W 600 × H 238 mm","Steel","Black",""
"SEFRBB04","portal","L 450 × W 460 × H 240 mm","Steel","Black","12"
"MEFRBB04","public","L 450 × W 460 × H 240 mm","Steel","Black","12 months"
"SEFRBB05","portal","L 450 × W 460 × H 240 mm","Steel","Black","12 months"
"MEFRBB05","public","L 450 × W 460 × H 240 mm","Steel","Black","12 months"
"AEFRBB01","public","L 450 × W 460 × H 240 mm","Steel","Black","12 months"
"SMBRNC01","portal","L 12,000 × W 42 × H 42 mm","Nylon, steel","Black","3 months"
