"*Product Code","Channel","Notes"
"RKST3C01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 3 Cell Freestanding Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Freestanding Rig (3 Cell) Studio Kit includes:"
"RKST4C02","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 4 Cell Freestanding Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Freestanding Rig (4 Cell) Studio Kit includes:"
"RKST5C01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 5 Cell Freestanding Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Freestanding Rig (5 Cell) Studio Kit includes:"
"RKST6C01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 6 Cell Freestanding Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Freestanding Rig (6 Cell) studio kit includes:"
"RKST5CW01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 5 cell Wall Mounted Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Wall Mounted Rig (5 Cell) studio kit includes:"
"RKST6CW01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 6 Cell Wall Mounted Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Wall Mounted Rig (6 Cell) studio kit includes:"
"RKST7CW01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 7 Cell Wall Mounted Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Wall Mounted Rig (7 Cell) studio kit includes:"
"RKST8CW01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 8 Cell Wall Mounted Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Wall Mounted Rig (8 Cell) studio kit includes:"
"RKST9CW01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 9 Cell Wall Mounted Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Wall Mounted Rig (9 Cell) studio kit includes:"
"RKST10CW01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 10 Cell Wall Mounted Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Wall Mounted Rig (10 Cell) studio kit includes:"
