"Kind","Product Code","Name","Group","Fields","ERP W","ERP H","ERP D","ERP kg","Store W","Store H","Store D","Store kg"
"suspect-store-value","SLLE2502","LED Dimmers","Lighting","","","","","","0.3","0.001","0.3","0.5"
"needs-measuring","ABRMRL03","Foam Roller - 45cm (Black)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABRPPO03","Power Bands - 13mm (Red)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABRPPO04","Power Bands - 21mm (Green)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABRPPO05","Power Bands - 32mm (Orange)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABRPPO06","Power Bands - 45mm (Blue)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABRPPO07","Power Bands - 64mm (Purple)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABRPPO08","Power Bands - 83mm (Black)","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABSADO01","Station Markers (Set of 96) - Numbers","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABSADO02","Station Markers (Set of 15) - Boost","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABSADO03","Station Markers (Set of 15) - Rep","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABSADO04","Station Markers (Set of 15) - Neural","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABSADO05","Station Markers (Set of 15) - Form","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABSADO06","Station Markers (Set of 15) - Hero","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABSADO07","Station Markers (Set of 15) - Functional","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ABSADO08","Station Markers (Set of 15) - Sherpa","Body Weight","","0","0","0","0","","","",""
"needs-measuring","ACBIAR03","Air Plus Expert Bike (Including Smart Connect Console)","Cardio","","0","0","0","0","","","",""
"needs-measuring","ACBIAR05","Spin Bike (Including Smart Connect Console)","Cardio","","0","0","0","0","","","",""
"needs-measuring","ACSTAR02","Ski Trainer Elite","Cardio","","0","0","0","0","","","",""
"needs-measuring","ACTMSP02","Resistance Treadmill (Including Smart Connect Console)","Cardio","","0","0","0","0","","","",""
"needs-measuring","AEBXACC02","Storage Bin (Aqua Colour)","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","AEWMMA01","Exercise Mat Hanging Rack (Wall Mounted)","Equipment Storage","","0","0","0","0","","","",""
"needs-measuring","AFATSY01","Artificial Turf Blue With 3 White Lines (1.7m x 10m)","Flooring","","0","0","0","0","","","",""
"needs-measuring","AFATSY02","Artificial Turf Blue With White Line (2m x 15m)","Flooring","","0","0","0","0","","","",""
"needs-measuring","AMBXG01","Cotton Inners (Fingerless, 100 Pair)","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","AMBXSY01","Focus Pads","Mixed Implements","","0","0","0","0","","","",""
"needs-measuring","AMDBRH01","Rubber Hex Dumbbell - 1kg","Mixed Implements","","0","0","0","2","","","",""
"needs-measuring","AMDBRH02","Rubber Hex Dumbbell - 2kg","Mixed Implements","","0","0","0","3","","","",""
"needs-measuring","AMDBRH04","Rubber Hex Dumbbell - 3kg","Mixed Implements","","0","0","0","4","","","",""
"needs-measuring","AMDBRH05","Rubber Hex Dumbbell - 4kg","Mixed Implements","","0","0","0","5","","","",""
"needs-measuring","AMDBRH06","Rubber Hex Dumbbell - 5kg","Mixed Implements","","0","0","0","6","","","",""
"needs-measuring","AMDBRH07","Rubber Hex Dumbbell - 6kg","Mixed Implements","","0","0","0","7","","","",""
"needs-measuring","AMDBRH08","Rubber Hex Dumbbell - 7kg","Mixed Implements","","0","0","0","8","","","",""
"needs-measuring","AMDBRH10","Rubber Hex Dumbbell - 8kg","Mixed Implements","","0","0","0","9","","","",""
"needs-measuring","AMDBRH11","Rubber Hex Dumbbell - 9kg","Mixed Implements","","0","0","0","10","","","",""
"needs-measuring","AMDBRH12","Rubber Hex Dumbbell - 10kg","Mixed Implements","","0","0","0","11","","","",""
"needs-measuring","AMDBRH13","Rubber Hex Dumbbell - 12.5kg","Mixed Implements","","0","0","0","14","","","",""
"needs-measuring","AMDBRH14","Rubber Hex Dumbbell - 15kg","Mixed Implements","","0","0","0","16","","","",""
"needs-measuring","AMDBRH15","Rubber Hex Dumbbell - 17.5kg","Mixed Implements","","0","0","0","19","","","",""
"needs-measuring","AMDBRH16","Rubber Hex Dumbbell - 20kg","Mixed Implements","","0","0","0","21","","","",""
