Group,Sub-group,Card,Level,Product code,Product name,Problem,Unleashed field,What the customer sees
"Strength","Squat & Power Racks","Olympic Half Rack","card","MRSPFW09","Olympic Half Rack","FILED UNDER THE WRONG GROUP","Product > Product Group","Sub-group ""Squat & Power Racks"" otherwise lives under Rigs & Racks; this card sits alone under Strength"
"Strength","Lower Body Machines","Smith Machine","card","MSLBPL24","Smith Machine","NO CARD — NOT ON THE SITE","Product > Product Description","1 product with no card: this and ""Smith Machine"" under Rigs & Racks both become /product/smith-machine, and Rigs & Racks wins. Rename one of them."
"Strength","Lower Body Machines","V-Squat","card","MSLBPL26","V-Squat","NO CARD — NOT ON THE SITE","Product > Product Description","1 product with no card: this and ""V Squat"" under Strength both become /product/v-squat, and Strength wins. Rename one of them."
"Strength","Cable Machines","Cable Pulley System","card","MSCMATT02","Cable Pulley System","NO PHOTO anywhere","Product > Images","Empty tile on the category grid and on /product/cable-pulley-system"
"Strength","Chest & Shoulder Machines","Hi & Low Adjustable Pulley","card","MSCMSE05","Hi & Low Adjustable Pulley","NO PHOTO anywhere","Product > Images","Empty tile on the category grid and on /product/hi-and-low-adjustable-pulley"
"Strength","Lower Body Machines","Multi Deadlift","card","MSLBPL21","Multi Deadlift","NO PHOTO anywhere","Product > Images","Empty tile on the category grid and on /product/multi-deadlift"
"Strength","Lower Body Machines","3D Seated Abduction","card","MSLBPL30","3D Seated Abduction","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Chest & Shoulder Machines","4 Stack Multi-sation","card","MSCMSE02","4 Stack Multi-sation","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Back Machines","45 Degree Hyperextension Bench","card","MSBMB02","45 Degree Hyperextension Bench","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Chest & Shoulder Machines","5 Stack Multi-sation","card","MSCMSE04","5 Stack Multi-sation","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Chest & Shoulder Machines","8 Stack Multi-sation","card","MSCMSE03","8 Stack Multi-sation","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Lower Body Machines","Alternate Leg Extension Machine","card","MSLBPL12","Alternate Leg Extension Machine","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Chest & Shoulder Machines","Dual Adjustable Pulley","card","MSCMSE01","Dual Adjustable Pulley","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Chest & Shoulder Machines","Dual-Arm Functional Trainer","card","MSCMSE06","Dual-Arm Functional Trainer","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Chest & Shoulder Machines","Fixed Upright Bench","card","MSCSPL05","Fixed Upright Bench","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Bicep & Tricep Machines","Glute & Hamstring Developer","card","MSBTPL07","Glute & Hamstring Developer","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Chest & Shoulder Machines","Hi & Low Adjustable Pulley","card","MSCMSE05","Hi & Low Adjustable Pulley","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Lower Body Machines","Iso-Lateral Multi-Squat Lunge","card","MSLBPL29","Iso-Lateral Multi-Squat Lunge","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Back Machines","Iso-Lateral Seated Row","card","MSBMSE08","Iso-Lateral Seated Row","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Back Machines","Lat Pulldown","card","MSBMSE07","Lat Pulldown","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Lower Body Machines","Leg Extension & Leg Curl Machine","card","MSLBSE11","Leg Extension & Leg Curl Machine","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Chest & Shoulder Machines","Leg Extension Machine","card","MSLBSE09","Leg Extension Machine","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
"Strength","Lower Body Machines","Leg Press & Hack Squat","card","MSLBSE10","Leg Press & Hack Squat","NO PRICE","Product > Default Sell Price","Card and page both read ""Contact for pricing"""
