bucket,product,brand,group,codes_without_image,codes,sizes,family_photographed,family_size
unphotographed,High Rise Leggings (Woman),MK,Apparel,4,MAACU09L MAACU09M MAACU09S MAACU09XL,S M L XL,0,4
unphotographed,Long Sleeve Tee (Unisex),MK,Apparel,4,MAACU04L MAACU04M MAACU04S MAACU04XL,S M L XL,0,4
unphotographed,Oversized Hoodie (Unisex),MK,Apparel,4,MAACU02L MAACU02M MAACU02S MAACU02XL,S M L XL,0,4
unphotographed,Oversized Tee (Unisex),MK,Apparel,4,MAACU03L MAACU03M MAACU03S MAACU03XL,S M L XL,0,4
unphotographed,Relaxed Short Sleeve Tee (Woman),MK,Apparel,4,MAACU10L MAACU10M MAACU10S MAACU10XL,S M L XL,0,4
unphotographed,Short Sleeve Polo (Male),MK,Apparel,4,MAACU07L MAACU07M MAACU07S MAACU07XL,S M L XL,0,4
unphotographed,Short Sleeve Tee (Male),MK,Apparel,4,MAACU05L MAACU05M MAACU05S MAACU05XL,S M L XL,0,4
unphotographed,Sports Bra (Woman),MK,Apparel,4,MAACU12L MAACU12M MAACU12S MAACU12XL,S S L XL,0,4
unphotographed,Sweatshirt (Unisex),MK,Apparel,4,MAACU01L MAACU01M MAACU01S MAACU01XL,S M L XL,0,4
unphotographed,Tank (Male),MK,Apparel,4,MAACU08L MAACU08M MAACU08S MAACU08XL,S M L XL,0,4
unphotographed,Tank (Woman),MK,Apparel,4,MAACU11L MAACU11M MAACU11S MAACU11XL,S M L XL,0,4
unphotographed,"Training Shorts - 7"" (Male)",MK,Apparel,4,MAACU06L MAACU06M MAACU06S MAACU06XL,S M L XL,0,4
unphotographed,Micro Bands,MK,Body Weight,3,MBRPPO03 MBRPPO04 MBRPPO05,Heavy X Heavy XX Heavy,0,3
unphotographed,Power Bands,MK,Body Weight,3,MBRPPO06 MBRPPO07 MBRPPO08,13mm (Red) 21mm (Grey) 32mm (Black),0,3
unphotographed,Olympic Urethane Weight Plates (4 Grip),MK,Weightlifting,2,MWWPOU10 MWWPOU13,15kg 25kg,0,2
unphotographed,Socks,MK,Apparel,1,MAAAU03,,0,1
unphotographed,Sweat Towel,MK,Apparel,1,MAAACO01,,0,1
unphotographed,Train Cap,MK,Apparel,1,MAAAU02,,0,1
unphotographed,Trucker Hat,MK,Apparel,1,MAAAU01,,0,1
unphotographed,EVA Exercise Mat (Set of 10),MK,Body Weight,1,MBPAMA01,,0,1
unphotographed,Massage Rolling Machine,MK,Body Weight,1,MBRMRL09,,0,1
unphotographed,Station Markets (Set of 20),MK,Body Weight,1,MBSADO03,,0,1
unphotographed,Performance Indoor Cycle,MK,Cardio,1,MCBIMG01,,0,1
unphotographed,Performance Reformer,MK,Cardio,1,MCRFAL01,,0,1
unphotographed,Studio Reformer,MK,Cardio,1,MCRFWO01,,0,1
unphotographed,"Olympic Power Bar-20kg (2200mm, 700lb Capacity)",MK,Clearance,1,MK-OLYPBAR20-700,,0,1
unphotographed,Barbell Storage Box,MK,Equipment Storage,1,MEFSBB04,,0,1
unphotographed,Barbell Storage Box (12 Bar Holder),MK,Equipment Storage,1,MEFRBB06,,0,1
unphotographed,Modular Storage Rack (Complete),MK,Equipment Storage,1,MEFMOD03,,0,1
unphotographed,Retail Rack,MK,Equipment Storage,1,MERK153001,,0,1
unphotographed,Wall Mounted-Battle Rope Storage,MK,Equipment Storage,1,MEWMRO 01,,0,1
unphotographed,Wall Mounted-Exercise Mat Hanging Rack,MK,Equipment Storage,1,MEWMMA 01,,0,1
unphotographed,Wall Mounted-Rope & Band Rack,MK,Equipment Storage,1,MEWMRO 02,,0,1
unphotographed,Wall Mounted-Rope & Band Rack-SMALL,MK,Equipment Storage,1,MEWMRO02-S,,0,1
unphotographed,Artificial Turf Black (2m x 15m),NO BRAND,Flooring,1,NBFATSY02,,0,1
unphotographed,Artificial Turf Black (2m x 20m),MK,Flooring,1,MFATSY04,,0,1
unphotographed,Artificial Turf Green (2m X 15m),MK,Flooring,1,MFATSY05,,0,1
unphotographed,Chrome  Dumbbell Set (1kg-10kg Pairs),MK,Mixed Implements,1,MMDBCE01,,0,1
unphotographed,Climbing Rope,MK,Mixed Implements,1,MMBRNC02,7m,0,1
unphotographed,Cotton Inners,MK,Mixed Implements,1,MMBXG01,,0,1
unphotographed,Urethane Fixed Dumbbells (Pair),MK,Mixed Implements,1,MMDBUR19,7.5kg,0,1
unphotographed,Wall Ball (Armatex) -12kg,MK,Mixed Implements,1,MMWAARM09,,0,1
unphotographed,Dead Balls (Set of 4),MK,Packages,1,MMPA4BL01,56kg,0,1
unphotographed,Power Bags (Set of 6),MK,Packages,1,MMPA6BG01,105kg,0,1
unphotographed,Rubber Hex Dumbbell (Set of 14 Pairs),MK,Packages,1,MMPADB01,240kg & Vertical Dumbbell Rack - Portable (Four Sided),0,1
unphotographed,Urethane Competition Kettlebell (Set of 5),MK,Packages,1,MMPA8002,80kg,0,1
unphotographed,Urethane Fixed Dumbbells Set (1-10kg Pairs) & Vertical Dummbell Rack,MK,Packages,1,MMPAUR01,10 Pair (Single Sided) 1.0,0,1
unphotographed,Wall Ball (Armatex) (Set of 4),MK,Packages,1,MMPAARM01,12kg,0,1
unphotographed,2-Cell Rack with Storage,MK,Rigs & Racks,1,MRSPFW06,,0,1
unphotographed,Olympic Half Rack (Wall Mounted),MK,Rigs & Racks,1,MRSPFW11,,0,1
unphotographed,Olympic Half Rack 2.0,MK,Rigs & Racks,1,MRSPFW10,,0,1
unphotographed,Olympic Half Rack with Dead Lift,MK,Rigs & Racks,1,MRSPFW12,,0,1
unphotographed,Olympic Half Rack with Dual Pulley,MK,Rigs & Racks,1,MRSPFW13,,0,1
unphotographed,Olympic Half Rack with Dual Pulley (Wall Mounted),MK,Rigs & Racks,1,MRSPFW14,,0,1
unphotographed,Olympic Power Rack 5.0,MK,Rigs & Racks,1,MRSPFW15,,0,1
unphotographed,Olympic Power Rack with Dual Pulley,MK,Rigs & Racks,1,MRSPFW16,,0,1
unphotographed,Storage Pin with Shoulder,MK,Rigs & Racks,1,MRATTACC01,,0,1
unphotographed,Cable Pulley System,MK,Strength,1,MSCMATT02,,0,1
unphotographed,Hi & Low Adjustable Pulley,MK,Strength,1,MSCMSE05,,0,1
unphotographed,Multi Deadlift,MK,Strength,1,MSLBPL21,,0,1
unphotographed,Lifting Plus Integrated Platform,MK,Weightlifting,1,MWLPFS01,,0,1
unphotographed,Technique/Training Pipe,MK,Weightlifting,1,MWWLPVC01,,0,1
sizes-only,Fixed PU Curl Barbell,MK,Weightlifting,18,MWBBFUR21 MWBBFUR22 MWBBFUR23 MWBBFUR24 MWBBFUR25 MWBBFUR26 MWBBFUR27 MWBBFUR28 MWBBFUR29 MWBBFUR30 MWBBFUR31 MWBBFUR32 MWBBFUR33 MWBBFUR34 MWBBFUR35 MWBBFUR36 MWBBFUR37 MWBBFUR38,7.5kg 10kg 12.5kg 15kg 17.5kg 20kg 22.5kg 25kg 27.5kg 30kg 32.5kg 35kg 37.5kg 40kg 42.5kg 45kg 47.5kg 50kg,1,19
sizes-only,Fixed PU Straight Barbell,MK,Weightlifting,7,MWBBFUR13 MWBBFUR14 MWBBFUR15 MWBBFUR16 MWBBFUR17 MWBBFUR18 MWBBFUR19,27.5kg 32.5kg 37.5kg 42.5kg 45kg 47.5kg 50kg,7,14
sizes-only,Change Plates,MK,Weightlifting,4,MWWPCP03 MWWPCP04 MWWPCP05 MWWPCP06,0.5kg 1kg 1.5kg 2kg,2,6
sizes-only,Olympic PU Weight Plates (4 Grip),MK,Weightlifting,4,MWWPOU08 MWWPOU09 MWWPOU11 MWWPOU12,1.25kg 2.5kg 10kg 20kg,1,5
sizes-only,Pro Bumper Plates,MK,Weightlifting,4,MWWPCNB07 MWWPCNB08 MWWPCNB09 MWWPCNB10,10kg 15kg 20kg 25kg,1,5
sizes-only,Rubber EZ Fixed Barbells,MK,Weightlifting,3,MWBBFR07A MWBBFRZ01A MWBBFRZ08A,7.5kg 27.5kg 32.5kg,10,13
