verdict,code,erp_name,product,brand,group,sub_group,price_inc_gst,stock,reached_by,slug,family_photographed,family_size,showing_instead,blank_card,photo_on_other_code,photo_match,other_code_state,photo_on_other_name
blank,MAACU09L,High Rise Leggings (Woman) (L),High Rise Leggings (Woman),MK,Apparel,Woman,125.00,0,unit,high-rise-leggings-woman,0,4,,yes,,,,
blank,MAACU09M,High Rise Leggings (Woman) (M),High Rise Leggings (Woman),MK,Apparel,Woman,125.00,0,unit,high-rise-leggings-woman,0,4,,yes,,,,
blank,MAACU09S,High Rise Leggings (Woman) (S),High Rise Leggings (Woman),MK,Apparel,Woman,125.00,0,unit,high-rise-leggings-woman,0,4,,yes,,,,
blank,MAACU09XL,High Rise Leggings (Woman) (XL),High Rise Leggings (Woman),MK,Apparel,Woman,125.00,0,unit,high-rise-leggings-woman,0,4,,yes,,,,
blank,MAACU04L,Long Sleeve Tee (Unisex) (L),Long Sleeve Tee (Unisex),MK,Apparel,Unisex,65.00,0,unit,long-sleeve-tee-unisex,0,4,,yes,,,,
blank,MAACU04M,Long Sleeve Tee (Unisex) (M),Long Sleeve Tee (Unisex),MK,Apparel,Unisex,65.00,0,unit,long-sleeve-tee-unisex,0,4,,yes,,,,
blank,MAACU04S,Long Sleeve Tee (Unisex) (S),Long Sleeve Tee (Unisex),MK,Apparel,Unisex,65.00,0,unit,long-sleeve-tee-unisex,0,4,,yes,,,,
blank,MAACU04XL,Long Sleeve Tee (Unisex) (XL),Long Sleeve Tee (Unisex),MK,Apparel,Unisex,65.00,0,unit,long-sleeve-tee-unisex,0,4,,yes,,,,
blank,MAACU02L,Oversized Hoodie (Unisex) (L),Oversized Hoodie (Unisex),MK,Apparel,Unisex,90.00,0,unit,oversized-hoodie-unisex,0,4,,yes,MAACU02-L,candidate,retired,Oversized Hoodie (L)
blank,MAACU02M,Oversized Hoodie (Unisex) (M),Oversized Hoodie (Unisex),MK,Apparel,Unisex,90.00,0,unit,oversized-hoodie-unisex,0,4,,yes,MAACU02-M,candidate,retired,Oversized Hoodie (M)
blank,MAACU02S,Oversized Hoodie (Unisex) (S),Oversized Hoodie (Unisex),MK,Apparel,Unisex,90.00,0,unit,oversized-hoodie-unisex,0,4,,yes,MAACU02-S,candidate,retired,Oversized Hoodie (S)
blank,MAACU02XL,Oversized Hoodie (Unisex) (XL),Oversized Hoodie (Unisex),MK,Apparel,Unisex,90.00,0,unit,oversized-hoodie-unisex,0,4,,yes,MAACU02-XL,candidate,retired,Oversized Hoodie (XL)
blank,MAACU03L,Oversized Tee (Unisex) (L),Oversized Tee (Unisex),MK,Apparel,Unisex,55.00,0,unit,oversized-tee-unisex,0,4,,yes,,,,
blank,MAACU03M,Oversized Tee (Unisex) (M),Oversized Tee (Unisex),MK,Apparel,Unisex,55.00,0,unit,oversized-tee-unisex,0,4,,yes,,,,
blank,MAACU03S,Oversized Tee (Unisex) (S),Oversized Tee (Unisex),MK,Apparel,Unisex,55.00,0,unit,oversized-tee-unisex,0,4,,yes,,,,
blank,MAACU03XL,Oversized Tee (Unisex) (XL),Oversized Tee (Unisex),MK,Apparel,Unisex,55.00,0,unit,oversized-tee-unisex,0,4,,yes,,,,
