ProductCode,ProductDescription,UnitOfMeasure,ProductGroup,ProductBrand,DefaultSellPrice,woo_price_UNVERIFIED,mk_equivalent,mk_erp_price
SMDBPRH11,Premium Rubber Hex Dumbbell - 9kg,KG,Mixed Implements,SNAP,,40.91,MMDBPRH11,40.9091
SMDBPRH10,Premium Rubber Hex Dumbbell - 8kg,KG,Mixed Implements,SNAP,,36.36,MMDBPRH10,36.3636
SMDBPRH08,Premium Rubber Hex Dumbbell - 7kg,KG,Mixed Implements,SNAP,,31.82,MMDBPRH08,31.8182
SMDBPRH23,Premium Rubber Hex Dumbbell - 37.5kg,KG,Mixed Implements,SNAP,,170.45,MMDBPRH23,170.4545
SMDBPRH22,Premium Rubber Hex Dumbbell - 35kg,KG,Mixed Implements,SNAP,,159.09,MMDBPRH22,159.0909
SMDBPRH21,Premium Rubber Hex Dumbbell - 32.5kg,KG,Mixed Implements,SNAP,,145.45,MMDBPRH21,145.4545
SMDBPRH20,Premium Rubber Hex Dumbbell - 30kg,KG,Mixed Implements,SNAP,,136.36,MMDBPRH20,136.3636
SMDBPRH02,Premium Rubber Hex Dumbbell - 2kg,KG,Mixed Implements,SNAP,,9.09,MMDBPRH02,9.0909
SMDBPRH19,Premium Rubber Hex Dumbbell - 27.5kg,KG,Mixed Implements,SNAP,,125,MMDBPRH19,125.0
SMDBPRH18,Premium Rubber Hex Dumbbell - 25kg,KG,Mixed Implements,SNAP,,113.64,MMDBPRH18,113.6364
SMDBPRH17,Premium Rubber Hex Dumbbell - 22.5kg,KG,Mixed Implements,SNAP,,102.27,MMDBPRH17,102.2727
SMDBPRH16,Premium Rubber Hex Dumbbell - 20kg,KG,Mixed Implements,SNAP,,90.91,MMDBPRH16,90.9091
SMDBPRH03,Premium Rubber Hex Dumbbell - 2.5kg,KG,Mixed Implements,SNAP,,11.36,,
SMDBPRH01,Premium Rubber Hex Dumbbell - 1kg,KG,Mixed Implements,SNAP,,4.545,MMDBPRH01,4.5455
SMDBPRH15,Premium Rubber Hex Dumbbell - 17.5kg,KG,Mixed Implements,SNAP,,79.545,MMDBPRH15,79.5455
SMDBPRH14,Premium Rubber Hex Dumbbell - 15kg,KG,Mixed Implements,SNAP,,68.18,MMDBPRH14,68.1818
SMDBPRH13,Premium Rubber Hex Dumbbell - 12.5kg,KG,Mixed Implements,SNAP,,56.82,MMDBPRH13,56.8182
SMDBPRH12,Premium Rubber Hex Dumbbell - 10kg,KG,Mixed Implements,SNAP,,45.45,MMDBPRH12,45.4545
SMDBPRH09,Premium Rubber Hex Dumbbell - 7.5kg,KG,Mixed Implements,SNAP,,34.09,,
SMDBPRH07,Premium Rubber Hex Dumbbell - 6kg,KG,Mixed Implements,SNAP,,27.27,MMDBPRH07,27.2727
SMDBPRH06,Premium Rubber Hex Dumbbell - 5kg,KG,Mixed Implements,SNAP,,22.73,MMDBPRH06,22.7273
SMDBPRH05,Premium Rubber Hex Dumbbell - 4kg,KG,Mixed Implements,SNAP,,18.18,MMDBPRH05,18.1818
SMDBPRH24,Premium Rubber Hex Dumbbell - 40kg,KG,Mixed Implements,SNAP,,181.82,MMDBPRH24,181.8182
SMDBPRH04,Premium Rubber Hex Dumbbell - 3kg,KG,Mixed Implements,SNAP,,13.64,MMDBPRH04,13.6364
SMDBRH11,Rubber Hex Dumbbells - 9kg,KG,Mixed Implements,SNAP,,28.8,MMDBRH11,40.9091
SMDBRH10,Rubber Hex Dumbbells - 8kg,KG,Mixed Implements,SNAP,,25.6,MMDBRH10,36.3636
SMDBRH08,Rubber Hex Dumbbells - 7kg,KG,Mixed Implements,SNAP,,22.4,MMDBRH08,31.8182
SMDBRH09,Rubber Hex Dumbbells - 7.5kg,KG,Mixed Implements,SNAP,,24,MMDBRH09,34.0909
SMDBRH07,Rubber Hex Dumbbells - 6kg,KG,Mixed Implements,SNAP,,19.2,MMDBRH07,27.2727
SMDBRH06,Rubber Hex Dumbbells - 5kg,KG,Mixed Implements,SNAP,,16,MMDBRH06,22.7273
SMDBRH05,Rubber Hex Dumbbells - 4kg,KG,Mixed Implements,SNAP,,12.8,MMDBRH05,18.1818
