code,description,file,backdrop,backdrop_colour
SAAACO01,Sweat Towel,SAAACO01.png,removed,#ffffff
SAAAU01,Trucker Hat,SAAAU01.png,"in-scene, left as shot",#000000
SAAAU02,Train Cap,SAAAU02.png,"in-scene, left as shot",#000000
SAACU02M,Oversized Hoodie (Unisex) (M),SAACU02M.png,removed,#ffffff
SAACU05L,Short Sleeve Tee (Male) (L),SAACU05L.png,"in-scene, left as shot",#000000
SAACU05M,Short Sleeve Tee (Male) (M),SAACU05M.png,"in-scene, left as shot",#000000
SAACU05S,Short Sleeve Tee (Male) (S),SAACU05S.png,"in-scene, left as shot",#000000
SAACU05XL,Short Sleeve Tee (Male) (XL),SAACU05XL.png,"in-scene, left as shot",#000000
SAACU09M,High Rise Leggings (Woman) (M),SAACU09M.png,removed,#ffffff
SAACU12M,Sports Bra (Woman) (S),SAACU12M.png,removed,#ffffff
SBASADJ01,Group Fitness Step (Adjustable),SBASADJ01.png,removed,#e6e6e6
SBASADJ02,Group Fitness Step (4 Risers),SBASADJ02.png,removed,#e6e6e6
SBASADJ03,Group Fitness Step (6 Risers),SBASADJ03.png,removed,#e7e7e7
SBBSCU01,Balance Cushion,SBBSCU01.png,removed,#e6e6e6
SBBSTR01,Fitness & Balance Trainer,SBBSTR01.png,removed,#e6e6e6
SBCT6501,Fitness Ball - 65cm (Anti-Burst),SBCT6501.png,removed,#fefefe
SBCTACC01,Utility Roller,SBCTACC01.png,removed,#e6e6e6
SBCTDI01,Exercise Glider Discs (Pair),SBCTDI01.png,removed,#e6e6e6
SBCTDR01,Drop In Core Trainer,SBCTDR01.png,removed,#e6e6e6
SBCTFS02,Core Trainer (Landmine) With T Bar Handle,SBCTFS02.png,removed,#e6e6e6
SBCTMA01,Abdominal Mat,SBCTMA01.png,removed,#e6e6e6
SBCTWH01,Abdominal Wheel,SBCTWH01.png,removed,#e6e6e6
SBEMMA01,EVA Exercise Mat,SBEMMA01.png,removed,#e6e6e6
SBGYRI01,Gymnastic Rings (Wooden),SBGYRI01.png,removed,#e7e7e7
SBGYSL01,Parallettes - 275mm (Pair),SBGYSL01.png,removed,#e6e6e6
SBPB3I101,3-In-1 Foam Plyometric Box - 34kg,SBPB3I101.png,removed,#e6e6e6
SBPB3I102,3-In-1 Wooden Plyometric Box,SBPB3I102.png,removed,#e6e6e6
SBPBMS01,Plyometric Box (Set of 4),SBPBMS01.png,removed,#eaeceb
SBPBSB02,"Foam Plyometric Box - 6""",SBPBSB02.png,removed,#e6e6e6
SBPBSB04,"Foam Plyometric Box - 12""",SBPBSB04.png,removed,#e6e6e6
SBPBSB06,"Foam Plyometric Box - 24""",SBPBSB06.png,removed,#e6e6e6
SBRMRL01,Foam Roller - 45cm,SBRMRL01.png,removed,#e6e6e6
SBRMRL02,Foam Roller - 90cm,SBRMRL02.png,removed,#e6e6e6
SBRMRL03,Foam Roller - 33cm (TPT),SBRMRL03.png,removed,#e6e6e6
SBRMRL09,Massage Rolling Machine,SBRMRL09.png,removed,#e9e4e1
SBRPBA01,Knitted Resistance Bands (Set of 3),SBRPBA01.png,removed,#e6e6e6
SBRPMI01,Mini Bands (Pack of 4),SBRPMI01.png,removed,#e6e6e6
SBRPPO01,Power Bands (Pack of 4),SBRPPO01.png,removed,#e6e6e6
SBRPPO02,Power Bands (Pack of 8),SBRPPO02.png,removed,#e6e6e6
SBSADI01,Mini Disc Cones (Set of 50),SBSADI01.png,removed,#e6e6e6
SBSADO01,Agility Dots (Set of 5),SBSADO01.png,removed,#e6e6e6
SBSADO02,Station Markers (Set of 5),SBSADO02.png,removed,#e6e6e6
SBSAHD01,Lateral Endurance Hurdles (Set of 4),SBSAHD01.png,removed,#e6e6e6
SBSALD01,Rubber Rollout Speed Ladder - 5m,SBSALD01.png,removed,#f0f2f1
