SKU,Name,Slug,Channel,Size container,ERP holds the sizes,Obsolete,Image renders,Servable on site
ABPBMS-01-1,Plyometric Box 45cm,plyometric-box-45cm,clearance,false,false,false,true,true
ABRPPO,Power Bands,power-bands-alt-v,clearance,true,true,false,true,true
AMDBRH,Rubber Hex Dumbbells,rubber-hex-dumbbell-alt-v,clearance,true,true,false,true,true
AMDEHG,High Grip Dead Ball,high-grip-dead-ball-alt-v,clearance,true,true,false,true,true
AMKBUR-GROUP,Urethane Competition Kettlebells (Single),urethane-competition-kettlebells-single,clearance,true,true,false,true,true
AWWPCB,Competition Bumper Plates,competition-bumper-plates-alt-v,clearance,true,true,false,true,true
AWWPOU,Olympic Urethane Weight Plates,olympic-urethane-weight-plates-alt-v,clearance,true,true,false,true,true
MBASADJ-GROUP,Group Fitness Step,group-fitness-step,public,true,true,false,true,true
MBRMRL,Foam Roller,foam-roller-v,public,true,true,false,true,true
MFRFRR-GROUP,Impact Lock Rubber Tiles,impact-lock-rubber-tiles,public,true,true,false,true,true
MMDBPRH-GROUP,Premium Rubber Hex Dumbbell,premium-rubber-hex-dumbbell-3,public,true,true,false,true,true
MMDBRH-GROUP,Rubber Hex Dumbbells,rubber-hex-dumbbell-group,public,true,true,false,true,true
MMDBUR-GROUP,Urethane Fixed Dumbbells,urethane-fixed-dumbbells-2,public,true,true,false,true,true
MMDBVR-GROUP,Virgin Rubber Fixed Dumbbells,virgin-rubber-fixed-dumbbells,public,true,true,false,true,true
MMDEHG-GROUP,High Grip Dead Ball,high-grip-dead-ball-4,public,true,true,false,true,true
MMDESH-GROUP,Dead Balls,dead-ball-2,public,true,true,false,true,true
MMKBPGC-GROUP,Competition Kettlebells,competition-kettlebells,public,true,true,false,true,true
MMKBUR-GROUP,Urethane Competition Kettlebells (Single),urethane-competition-kettlebell-3,public,true,true,false,true,true
MMMBPR-GROUP,Medicine Ball,medicine-ball-2,public,true,true,false,true,true
MMPWPBG-GROUP,Power Bag,power-bag-2,public,true,true,false,true,true
MMWAARM-GROUP,Wall Ball,wall-ball-3,public,true,true,false,true,true
MWBBFRU-GROUP,Rubber Fixed Barbells,rubber-fixed-barbells-2,public,true,true,false,true,true
MWBBFRZ-GROUP,Rubber EZ Fixed Barbells,rubber-ez-fixed-barbells-2,public,true,true,false,true,true
MWBBFUR,Urethane Fixed Barbells,urethane-fixed-barbells-v,public,true,true,false,true,true
MWBBFUR-GROUP,Urethane Fixed Barbells,urethane-fixed-barbells-2,public,true,true,false,true,true
MWWPCB-GROUP,Coloured Bumper Plates,coloured-bumper-plates,public,true,true,false,true,true
MWWPCNB-GROUP,Competition Bumper Plates,competition-bumper-plates-3,public,true,true,false,true,true
MWWPCP-GROUP,Change Plates,change-plates,public,true,true,false,true,true
MWWPOPR-GROUP,Olympic Premium Rubber Weight Plates,olympic-premium-rubber-weight-plates-2,public,true,true,false,true,true
MWWPOU,Olympic Urethane Weight Plates,olympic-urethane-weight-plates,public,true,true,false,true,true
MWWPOU-GROUP,Olympic Urethane Weight Plates,olympic-urethane-weight-plates-3,public,true,true,false,true,true
MBASADJ,Group Fitness Step,group-fitness-step-v,public,true,true,true,true,false
MBPBSB,Foam Plyometric Box,foam-plyometric-box-v,public,true,true,true,true,false
MFAFRR,Acoustic Underlay,acoustic-underlay-v,public,true,true,true,true,false
MFAFRR-GROUP,Acoustic Underlay,acoustic-underlay,public,true,true,true,true,false
MFRFRR,Impact Lock Rubber Tiles,impact-lock-rubber-tiles-v,public,true,true,true,true,false
MMDBPRH,Premium Rubber Hex Dumbbell,premium-rubber-hex-dumbbell-v,public,true,true,true,true,false
MMDBRH,Rubber Hex Dumbbells,rubber-hex-dumbbell-v,public,true,true,true,true,false
MMDBUR,Urethane Fixed Dumbbells,urethane-fixed-dumbbells-v,public,true,true,true,true,false
MMDBVR,Virgin Rubber Fixed Dumbbells,virgin-rubber-fixed-dumbbells-v,public,true,true,true,true,false
MMDEHG,High Grip Dead Ball,high-grip-dead-ball-3,public,true,true,true,true,false
MMDESH,Dead Ball,dead-ball-v,public,true,true,true,true,false
MMGFWTB,Aerobic Weighted Exercise Bars,aerobic-weighted-exercise-bars-v,public,true,true,true,true,false
