Category,Category slug,Subgroup,Slug,Cards,URL,Qualifies
"Strength","strength","Chest & Shoulder Machines","chest-and-shoulder-machines","25","/equipment/strength/chest-and-shoulder-machines","true"
"Strength","strength","Lower Body Machines","lower-body-machines","25","/equipment/strength/lower-body-machines","true"
"Equipment Storage","equipment-storage","Freestanding","freestanding","25","/equipment/equipment-storage/freestanding","true"
"Rigs & Racks","rigs-racks","Squat & Power Racks","squat-and-power-racks","20","/equipment/rigs-racks/squat-and-power-racks","true"
"Weightlifting","weightlifting","Weight Plates","weight-plates","16","/equipment/weightlifting/weight-plates","true"
"Equipment Storage","equipment-storage","Wall Mounted","wall-mounted","15","/equipment/equipment-storage/wall-mounted","true"
"Weightlifting","weightlifting","Barbells","barbells","13","/equipment/weightlifting/barbells","true"
"Strength","strength","Back Machines","back-machines","12","/equipment/strength/back-machines","true"
"Weightlifting","weightlifting","Weightlifting Accessories","weightlifting-accessories","11","/equipment/weightlifting/weightlifting-accessories","true"
"Mixed Implements","mixed-implements","Dumbbells","dumbbells","10","/equipment/mixed-implements/dumbbells","true"
"Mixed Implements","mixed-implements","Group Fitness","group-fitness","9","/equipment/mixed-implements/group-fitness","true"
"Body Weight","body-weight","Speed & Agility","speed-and-agility","8","/equipment/body-weight/speed-and-agility","true"
"Apparel","apparel","Unisex","unisex","8","/equipment/apparel/unisex","true"
"Cardio","cardio","Bikes","bikes","7","/equipment/cardio/bikes","true"
"Cardio","cardio","Ski Trainer","ski-trainer","6","/equipment/cardio/ski-trainer","true"
"Body Weight","body-weight","Resistance & Power Bands","resistance-and-power-bands","6","/equipment/body-weight/resistance-and-power-bands","true"
"Strength","strength","Bicep & Tricep Machines","bicep-and-tricep-machines","5","/equipment/strength/bicep-and-tricep-machines","true"
"Rigs & Racks","rigs-racks","Attachments","attachments","5","/equipment/rigs-racks/attachments","true"
"Mixed Implements","mixed-implements","Kettlebells","kettlebells","5","/equipment/mixed-implements/kettlebells","true"
"Body Weight","body-weight","Core Training","core-training","5","/equipment/body-weight/core-training","true"
"Strength","strength","Cable Machines","cable-machines","4","/equipment/strength/cable-machines","true"
"Strength","strength","Weight Benches","weight-benches","4","/equipment/strength/weight-benches","true"
"Body Weight","body-weight","Balance & Stability","balance-and-stability","4","/equipment/body-weight/balance-and-stability","true"
"Body Weight","body-weight","Plyometric Boxes","plyometric-boxes","4","/equipment/body-weight/plyometric-boxes","true"
"Flooring","flooring","Astro Turf/Sled Tracks","astro-turf-sled-tracks","4","/equipment/flooring/astro-turf-sled-tracks","true"
"Apparel","apparel","Male","male","4","/equipment/apparel/male","true"
"Apparel","apparel","Woman","woman","4","/equipment/apparel/woman","true"
"Strength","strength","Abdominal Machines","abdominal-machines","3","/equipment/strength/abdominal-machines","true"
"Cardio","cardio","Rowers","rowers","3","/equipment/cardio/rowers","true"
"Mixed Implements","mixed-implements","Dead Balls","dead-balls","3","/equipment/mixed-implements/dead-balls","true"
"Mixed Implements","mixed-implements","Wall Balls","wall-balls","3","/equipment/mixed-implements/wall-balls","true"
"Cardio","cardio","Reformer","reformer","2","/equipment/cardio/reformer","false"
"Cardio","cardio","Treadmills","treadmills","2","/equipment/cardio/treadmills","false"
"Mixed Implements","mixed-implements","Battle Ropes","battle-ropes","2","/equipment/mixed-implements/battle-ropes","false"
"Mixed Implements","mixed-implements","Boxing","boxing","2","/equipment/mixed-implements/boxing","false"
"Mixed Implements","mixed-implements","Medicine Balls","medicine-balls","2","/equipment/mixed-implements/medicine-balls","false"
"Mixed Implements","mixed-implements","Power Bags","power-bags","2","/equipment/mixed-implements/power-bags","false"
"Body Weight","body-weight","Exercise Mats","exercise-mats","2","/equipment/body-weight/exercise-mats","false"
"Body Weight","body-weight","Gymnastics","gymnastics","2","/equipment/body-weight/gymnastics","false"
"Flooring","flooring","Acoustic Underlay","acoustic-underlay","2","/equipment/flooring/acoustic-underlay","false"
"Flooring","flooring","Rubber Flooring","rubber-flooring","2","/equipment/flooring/rubber-flooring","false"
"Packages","packages","Dumbbells","dumbbells","2","/equipment/packages/dumbbells","false"
"Packages","packages","Power Bags","power-bags","2","/equipment/packages/power-bags","false"
"Strength","strength","Squat & Power Racks","squat-and-power-racks","1","/equipment/strength/squat-and-power-racks","false"
"Weightlifting","weightlifting","Lifting Platform","lifting-platform","1","/equipment/weightlifting/lifting-platform","false"
"Rigs & Racks","rigs-racks","Accessories","accessories","1","/equipment/rigs-racks/accessories","false"
"Mixed Implements","mixed-implements","Farmers Walk","farmers-walk","1","/equipment/mixed-implements/farmers-walk","false"
"Mixed Implements","mixed-implements","Pilates","pilates","1","/equipment/mixed-implements/pilates","false"
"Mixed Implements","mixed-implements","Sleds","sleds","1","/equipment/mixed-implements/sleds","false"
"Body Weight","body-weight","Recovery & Mobility","recovery-and-mobility","1","/equipment/body-weight/recovery-and-mobility","false"
"Body Weight","body-weight","Suspension Trainer","suspension-trainer","1","/equipment/body-weight/suspension-trainer","false"
"Equipment Storage","equipment-storage","Retail Rack","retail-rack","1","/equipment/equipment-storage/retail-rack","false"
"Lighting","lighting","LED","led","1","/equipment/lighting/led","false"
"Lighting","lighting","LED Dimmer","led-dimmer","1","/equipment/lighting/led-dimmer","false"
"Packages","packages","Dead Balls","dead-balls","1","/equipment/packages/dead-balls","false"
"Packages","packages","Kettlebells","kettlebells","1","/equipment/packages/kettlebells","false"
"Packages","packages","Wall Balls","wall-balls","1","/equipment/packages/wall-balls","false"
