*Product Code,*Product Description,Notes,Barcode,Unit of Measure,Min Stock Alert Level,Max Stock Alert Level,Label Template,SO Label Template,PO Label Template,SO Label Quantity,PO Label Quantity,Supplier Code,Supplier Name,Supplier Product Code,Default Purchase Price,Minimum Order Quantity,Minimum Sale Quantity,Default Sell Price,Minimum Sell Price,Sell Price Tier 1,Sell Price Tier 2,Sell Price Tier 3,Sell Price Tier 4,Sell Price Tier 5,Sell Price Tier 6,Sell Price Tier 7,Sell Price Tier 8,Sell Price Tier 9,Sell Price Tier 10,Pack Size,Weight,Width,Height,Depth,Reminder,Last Cost,Nominal Cost,Comments,Copy Comments for Sales,Copy Comments for Purchases,Never Diminishing,Product Group,Product Sub Group,Product Brand,Sales Account,COGS Account,Purchase Account,Purchase Tax Type,Purchase Tax Rate,Sales Tax Type,Sale Tax Rate,IsAssembledProduct,IsComponent,IsObsoleted,Is Sellable,Is Purchasable,Default Purchasing Unit of Measure
FWBBFUR02,Urethane Fixed Barbells - 12.5kg,,FWBBFUR02,KG,,,,,,Order Quantity,Order Quantity,UDO,UDONEX,,43.9031,,,100.0000,0.0000,72.2580,79.4838,83.0967,79.0909,87.0000,90.0000,100.0000,95.2263,76.9231,100.0000,,14.000,105.4,16.3,16.3,,0.0000,,,False,False,No,Weightlifting,Barbells,FERNWOOD,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
FWBBFUR04,Urethane Fixed Barbells - 17.5kg,,FWBBFUR04,KG,,,,,,Order Quantity,Order Quantity,UDO,UDONEX,,61.4089,,,136.3636,0.0000,101.0889,111.1978,116.2522,107.8512,118.6364,122.7273,136.3636,129.9209,104.8951,136.3636,,19.000,105.4,16.3,16.3,,0.0000,,,False,False,No,Weightlifting,Barbells,FERNWOOD,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
FWBBFUR06,Urethane Fixed Barbells - 22.5kg,,FWBBFUR06,KG,,,,,,Order Quantity,Order Quantity,UDO,UDONEX,,78.9147,,,172.7273,0.0000,129.9198,142.9118,149.4078,136.6116,150.2727,155.4545,172.7273,164.6137,132.8671,172.7273,,24.000,105.4,16.3,16.3,,0.0000,,,False,False,No,Weightlifting,Barbells,FERNWOOD,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
FWWPOU08,Olympic Urethane Weight Plates (4 Grip) - 1.25kg,,FWWPOU08,KG,,,,,,Order Quantity,Order Quantity,UDO,UDONEX,,4.0428,,,10.2273,0.0000,6.9458,7.6404,7.9877,8.0888,8.8977,9.2045,10.2273,9.7194,7.8671,10.2273,,2.000,17,3.2,17,,0.0000,,,False,False,No,Weightlifting,Weight Plates,FERNWOOD,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
FWWPOU11,Olympic Urethane Weight Plates (4 Grip) - 2.5kg,,FWWPOU11,KG,,,,,,Order Quantity,Order Quantity,UDO,UDONEX,,8.0364,,,20.4545,0.0000,13.8798,15.2678,15.9618,16.1777,17.7955,18.4091,20.4545,19.4770,15.7343,20.4545,,3.000,21,3.5,21,,0.0000,,,False,False,No,Weightlifting,Weight Plates,FERNWOOD,4420,5420,,,,,,No,Yes,No,Yes,Yes,KG
GWBBFUR02,Fixed PU Straight Barbell - 12.5kg,,GWBBFUR02,KG,,,,,,Order Quantity,Order Quantity,DY,Dayufitness,,43.9031,,,100.0000,0.0000,72.2580,72.2580,75.0000,80.0000,85.0000,90.0000,100.0000,68.8086,76.9200,100.0000,,14.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,GOLDS,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
GWBBFUR04,Fixed PU Straight Barbell - 17.5kg,,GWBBFUR04,KG,,,,,,Order Quantity,Order Quantity,DY,Dayufitness,,61.4089,,,136.3636,0.0000,101.0889,101.0889,102.2727,109.0909,115.9091,122.7273,136.3636,96.3128,104.9000,136.3600,,19.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,GOLDS,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
GWBBFUR06,Fixed PU Straight Barbell - 22.5kg,,GWBBFUR06,KG,,,,,,Order Quantity,Order Quantity,DY,Dayufitness,,78.9147,,,172.7273,0.0000,129.9198,129.9198,129.9198,138.1818,146.8182,155.4545,172.7273,123.8170,132.8700,172.7300,,24.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,GOLDS,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
GWBBFUR09,Fixed PU Straight Barbell - 35kg,,GWBBFUR09,KG,,,,,,Order Quantity,Order Quantity,DY,Dayufitness,,122.5408,,,263.6364,0.0000,201.8165,201.8165,201.8165,210.9091,224.0909,237.2727,263.6364,192.5296,202.8000,263.6400,,36.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,GOLDS,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
GWBBFUR10,Fixed PU Straight Barbell - 40kg,,GWBBFUR10,KG,,,,,,Order Quantity,Order Quantity,DY,Dayufitness,,140.0466,,,300.0000,0.0000,230.6474,230.6474,230.6474,240.0000,255.0000,270.0000,300.0000,220.0338,230.7700,300.0000,,41.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,GOLDS,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MBBSTR01,Fitness & Balance Trainer,,MBBSTR01,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,MDS,"Nantong Modern Sporting Industrial Co., Ltd",MD1215,71.2019,,,163.6364,0.0000,116.0551,116.0551,122.7273,130.9091,139.0909,147.2727,163.6364,104.1149,125.8700,163.6400,0.0500,8.000,66,9,66,,,,,False,False,No,Body Weight,Balance & Stability,MK,4110,5110,,,,,,No,Yes,No,Yes,Yes,KG
MEFRDB14,Horizontal Dumbbell Rack - 3 Tier (10 Pair) 3.0,,MEFRDB14,KG,,,,,,Order Quantity,Order Quantity,UDO,UDONEX,,0.0000,,,1609.0909,0.0000,1045.9091,1126.3636,1206.8182,1287.2727,1367.7273,1448.1818,1609.0909,662.5044,1237.7600,1609.0900,,62.000,140,55,107,,0.0000,,,False,False,No,Equipment Storage,Freestanding,MK,4610,5610,,,,,,No,Yes,No,Yes,Yes,KG
MEFRDB15,Horizontal Dumbbell Rack - 2 Tier (7 Pair) 3.0,,MEFRDB15,KG,,,,,,Order Quantity,Order Quantity,UDO,UDONEX,,0.0000,,,1181.8182,0.0000,768.1818,827.2727,886.3636,945.4545,1004.5455,1063.6364,1181.8182,460.9252,909.0900,1181.8200,,9.000,21.3,71.1,53.3,,0.0000,,,False,False,No,Equipment Storage,Freestanding,MK,4610,5610,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFRU02,Rubber Fixed Barbells - 12.5kg,,MWBBFRU02,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,31.3646,,,77.2727,0.0000,,,,,,,,,,,,14.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFRU04,Rubber Fixed Barbells - 17.5kg,,MWBBFRU04,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,43.8551,,,104.5455,0.0000,,,,,,,,,,,,19.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFRU06,Rubber Fixed Barbells - 22.5kg,,MWBBFRU06,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,56.3455,,,136.3636,0.0000,,,,,,,,,,,,24.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFRU09,Rubber Fixed Barbells - 35kg,,MWBBFRU09,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,87.4331,,,209.0909,0.0000,,,,,,,,,,,,36.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFRU10,Rubber Fixed Barbells - 40kg,,MWBBFRU10,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,99.9236,,,236.3636,0.0000,,,,,,,,,,,,41.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFRZ02,Rubber EZ Fixed Barbells - 12.5kg,,MWBBFRZ02,KG,,,,,,Order Quantity,Order Quantity,,,,0.0000,,,77.2727,0.0000,,,,,,,,,,,,14.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFRZ04,Rubber EZ Fixed Barbells - 17.5kg,,MWBBFRZ04,KG,,,,,,Order Quantity,Order Quantity,,,,0.0000,,,104.5455,0.0000,,,,,,,,,,,,19.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFRZ06,Rubber EZ Fixed Barbells - 22.5kg,,MWBBFRZ06,KG,,,,,,Order Quantity,Order Quantity,,,,0.0000,,,136.3636,0.0000,,,,,,,,,,,,24.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFRZ09,Rubber EZ Fixed Barbells - 35kg,,MWBBFRZ09,KG,,,,,,Order Quantity,Order Quantity,,,,0.0000,,,209.0909,0.0000,,,,,,,,,,,,36.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFRZ10,Rubber EZ Fixed Barbells - 40kg,,MWBBFRZ10,KG,,,,,,Order Quantity,Order Quantity,,,,0.0000,,,236.3636,0.0000,,,,,,,,,,,,41.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFUR02,Urethane Fixed Barbells - 12.5kg,,MWBBFUR02,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,43.9031,,,100.0000,0.0000,72.2580,72.2580,75.0000,80.0000,85.0000,90.0000,100.0000,68.8086,76.9200,100.0000,,14.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFUR04,Urethane Fixed Barbells - 17.5kg,,MWBBFUR04,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,61.4089,,,136.3636,0.0000,101.0889,101.0889,102.2727,109.0909,115.9091,122.7273,136.3636,96.3128,104.9000,136.3600,,19.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
MWBBFUR06,Urethane Fixed Barbells - 22.5kg,,MWBBFUR06,KG,0.0000,0.0000,,,,Order Quantity,Order Quantity,DY,Dayufitness,,78.9147,,,172.7273,0.0000,129.9198,129.9198,129.9198,138.1818,146.8182,155.4545,172.7273,123.8170,132.8700,172.7300,,24.000,105.4,16.3,16.3,,,,,False,False,No,Weightlifting,Barbells,MK,4405,5405,,,,,,No,Yes,No,Yes,Yes,KG
