SKU,Product,Category,WC RRP (ex-GST),Product URL
MSAMSE01,Ab/Back Extension Machine Pro (Selectorize),Abdominal Machines,2453.64,https://masterkraft.com/product/ab-back-extension-machine-pro-selectorize
SBASADJ-GROUP,Group Fitness Step,Aerobic Steps,0,https://masterkraft.com/product/group-fitness-step-sf
SBASADJ,Group Fitness Step,Aerobic Steps,,https://masterkraft.com/product/group-fitness-step-v-sf
MBASADJ-GROUP,Group Fitness Step,Aerobic Steps,0,https://masterkraft.com/product/group-fitness-step
MBASADJ,Group Fitness Step,Aerobic Steps,,https://masterkraft.com/product/group-fitness-step-v
SBASADJ01,Group Fitness Step (Adjustable),Aerobic Steps,250,https://masterkraft.com/product/group-fitness-step-adjustable-sf
SERK153001,Retail Rack,Apparel,280.00,https://masterkraft.com/product/retail-rack-2
SAAAU02,Train Hat,Apparel,36.36,https://masterkraft.com/product/train-hat
SAAAU01,Trucker Hat,Apparel,36.36,https://masterkraft.com/product/trucker-hat
SFATSY02,Artificial Turf Red With White Line (2m X 15m),Astro Turf/Sled Tracks,1180.91,https://masterkraft.com/product/artificial-turf-blue-with-white-line-2m-x-15m-sf
SFATSY01,Artificial Turf Red With White Line (2m X 20m),Astro Turf/Sled Tracks,1350,https://masterkraft.com/product/artificial-turf-green-2m-x-20m-sf
SRCTATT01,Rig Core Trainer (Landmine),Attachments,127.27,https://masterkraft.com/product/rig-core-trainer-landmine-sf
RRSPATT,Rig Crossbeam Single Pipe,Attachments,,https://masterkraft.com/product/rig-crossbeam-single-pipe-2
RRSPATT-GROUP,Rig Crossbeam Single Pipes,Attachments,0,https://masterkraft.com/product/rig-crossbeam-single-pipes
SRSPATT04,Rig Dip Bar Attachment,Attachments,150,https://masterkraft.com/product/rig-dip-bar-attachment-sf
SRSPATT05,Rig Premium J-Hooks,Attachments,144.545,https://masterkraft.com/product/rig-premium-j-hooks-sf
SRWAATT01,Rig Spotter Arms (Pair),Attachments,236.36,https://masterkraft.com/product/rig-spotter-arms-pair-sf
SRSPATT06,Rig Wall Ball Target,Attachments,204.545,https://masterkraft.com/product/rig-wall-ball-target-sf
MSBTSE01,Assisted Chin & Dip Machine Elite (Selectorize),Back Machines,3453.64,https://masterkraft.com/product/assisted-chin-dip-machine-elite-selectorize
MSBMSE02,Lat Pulldown & Seated Row Machine Pro (Selectorize),Back Machines,2726.36,https://masterkraft.com/product/lat-pulldown-seated-row-machine-pro-selectorize
MSBMSE01,Lat Pulldown Machine Elite (Selectorize),Back Machines,3044.545,https://masterkraft.com/product/lat-pulldown-machine-elite-selectorize
MSBMSE03,Seated Horizontal Pull Machine Elite (Selectorize),Back Machines,2908.18,https://masterkraft.com/product/seated-horizontal-pull-machine-elite-selectorize
SBBSCU01,Balance Cushion,Balance &amp; Stability,27.27,https://masterkraft.com/product/balance-cushion-sf
SBBSTR01,Fitness & Balance Trainer,Balance &amp; Stability,163.64,https://masterkraft.com/product/fitness-balance-trainer-sf
SWBBOL03,Olympic Barbell - 15kg (1500Lb Capacity),Barbells,313.64,https://masterkraft.com/product/olympic-barbell-15kg-1500lb-capacity-3-sf
SWBBOL04,Olympic Barbell - 20kg (2000Lb Capacity),Barbells,359.09,https://masterkraft.com/product/olympic-barbell-20kg-2000lb-capacity-3-sf
SWBBOL02,Olympic Barbell - 7ft Chrome (1000Lb Capacity),Barbells,162.73,https://masterkraft.com/product/olympic-barbell-7ft-chrome-1000lb-capacity-sf
SWBBOL01,Olympic Ez Curl Bar,Barbells,99.09,https://masterkraft.com/product/olympic-ez-curl-bar-sf
SWBBOL05,Olympic Hex Deadlift Barbell (350mm Loadable Sleeves),Barbells,309.09,https://masterkraft.com/product/olympic-hex-deadlift-barbell-350mm-loadable-sleeves-2-sf
SWBBOL06,Olympic Hex Deadlift Barbell (400mm Loadable Sleeves),Barbells,359.09,https://masterkraft.com/product/olympic-hex-deadlift-barbell-400mm-loadable-sleeves-sf
SWBBOL08,Olympic Rickshaw Barbell (250mm Loadable Sleeves),Barbells,268.18,https://masterkraft.com/product/olympic-rickshaw-barbell-250mm-loadable-sleeves-sf
SWBBOL07,Olympic Safety Squat Bar (1500Lb Capacity),Barbells,268.18,https://masterkraft.com/product/olympic-safety-squat-bar-1500lb-capacity-sf
SWBBOL09,Olympic Swiss Barbell - 20kg,Barbells,150,https://masterkraft.com/product/olympic-swiss-barbell-20kg-sf
SWBBFRZ-GROUP,Rubber EZ Fixed Barbells,Barbells,0,https://masterkraft.com/product/rubber-ez-fixed-barbells-2-sf
SWBBFRZ,Rubber EZ Fixed Barbells,Barbells,,https://masterkraft.com/product/rubber-ez-fixed-barbells-v-sf
MWBBFRZ-GROUP,Rubber EZ Fixed Barbells,Barbells,0,https://masterkraft.com/product/rubber-ez-fixed-barbells-2
MWBBFRZ,Rubber EZ Fixed Barbells,Barbells,,https://masterkraft.com/product/rubber-ez-fixed-barbells-v
SWBBFRU-GROUP,Rubber Fixed Barbells,Barbells,0,https://masterkraft.com/product/rubber-fixed-barbells-2-sf
SWBBFRU,Rubber Fixed Barbells,Barbells,,https://masterkraft.com/product/rubber-fixed-barbells-v-sf
MWBBFRU-GROUP,Rubber Fixed Barbells,Barbells,0,https://masterkraft.com/product/rubber-fixed-barbells-2
MWBBFRU,Rubber Fixed Barbells,Barbells,,https://masterkraft.com/product/rubber-fixed-barbells-v
SWBBFUR-GROUP,Urethane Fixed Barbells,Barbells,0,https://masterkraft.com/product/urethane-fixed-barbells-2-sf
SWBBFUR,Urethane Fixed Barbells,Barbells,,https://masterkraft.com/product/urethane-fixed-barbells-v-sf
MWBBFUR-GROUP,Urethane Fixed Barbells,Barbells,0,https://masterkraft.com/product/urethane-fixed-barbells-2
MWBBFUR,Urethane Fixed Barbells,Barbells,,https://masterkraft.com/product/urethane-fixed-barbells-v
SMBRNC01,Battle Rope - 12m,Battle Ropes,195.45,https://masterkraft.com/product/battle-rope-12m-sf
MSBTSE02,Arm Curl Machine Elite (Selectorize),Bicep &amp; Tricep Machines,3271.82,https://masterkraft.com/product/arm-curl-machine-elite-selectorize
SBPB3I101,3-In-1 Foam Plyometric Box - 34kg,Body Weight,300,https://masterkraft.com/product/3-in-1-foam-plyometric-box-34kg-sf
SBPB3I102,3-In-1 Wooden Plyometric Box,Body Weight,150,https://masterkraft.com/product/3-in-1-wooden-plyometric-box-sf
SBCTMA01,Abdominal Mat,Body Weight,29.09,https://masterkraft.com/product/abdominal-mat-sf
SBCTWH01,Abdominal Wheel,Body Weight,20,https://masterkraft.com/product/abdominal-wheel-sf
SBCTFS02,Core Trainer (Landmine) With T Bar Handle,Body Weight,268.18,https://masterkraft.com/product/core-trainer-landmine-with-t-bar-handle-sf
MBCTFS02,Core Trainer (Landmine) With T Bar Handle,Body Weight,268.18,https://masterkraft.com/product/core-trainer-landmine-with-t-bar-handle
SBCTDR01,Drop In Core Trainer,Body Weight,63.64,https://masterkraft.com/product/drop-in-core-trainer-2-sf
SBEMMA01,EVA Exercise Mat,Body Weight,45.45,https://masterkraft.com/product/eva-exercise-mat-2-sf
SBCTDI01,Exercise Glider Discs (Pair),Body Weight,40.91,https://masterkraft.com/product/exercise-glider-discs-pair-sf
SBPBSB,Foam Plyometric Box,Body Weight,,https://masterkraft.com/product/foam-plyometric-box-v-sf
MBPBSB,Foam Plyometric Box,Body Weight,,https://masterkraft.com/product/foam-plyometric-box-v
SBRMRL,Foam Roller,Body Weight,,https://masterkraft.com/product/foam-roller-v-sf
MBRMRL,Foam Roller,Body Weight,,https://masterkraft.com/product/foam-roller-v
