issue,priority,sku,product,category,field,discrete_value,blob_value,action,url
malformed,1,"MBPB3I101","3-In-1 Foam Plyometric Box - 34kg","Body Weight","Warranty","","Internal Frame: 12 months, Cover: 3 monthsmonths","Source reads ""Internal Frame: 12 months, Cover: 3 monthsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/3-in-1-foam-plyometric-box-34kg
conflict,1,"MBRMRL","Foam Roller","Body Weight","Assembled size","150 x 150 x 450","150 x 150 x 900","Decide which is correct, then set the assembled_size_length/width/height/depth field to it",/product/foam-roller-v
conflict,1,"MBRMRL","Foam Roller","Body Weight","Net weight","3","6 kg","Decide which is correct, then set the net_weight field to it",/product/foam-roller-v
conflict,1,"MBRMRL","Foam Roller","Body Weight","Gross weight","4","8 kg","Decide which is correct, then set the gross_weight field to it",/product/foam-roller-v
malformed,1,"MCBIAR01","Air Bike Classic","Cardio","Warranty","5 Years Frame, 2 Years Non-Wearable Parts","5 Years Frame, 2 Years Non-Wearable Partsmonths","Source reads ""5 Years Frame, 2 Years Non-Wearable Partsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/air-bike-classic
malformed,1,"MCBIAR02","Air Bike Pro","Cardio","Warranty","5 Years Frame, 2 Years Non-Wearable Parts","5 Years Frame, 2 Years Non-Wearable Partsmonths","Source reads ""5 Years Frame, 2 Years Non-Wearable Partsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/air-bike-pro
malformed,1,"MCBIAR03","Air Bike Elite","Cardio","Warranty","5 Years Frame, 2 Years Non-Wearable Parts","5 Years Frame, 2 Years Non-Wearable Partsmonths","Source reads ""5 Years Frame, 2 Years Non-Wearable Partsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/air-bike-elite
malformed,1,"MCBIAR04","Air Cycle Pro","Cardio","Warranty","5 Years Frame, 2 Years Non-Wearable Parts","5 Years Frame, 2 Years Non-Wearable Partsmonths","Source reads ""5 Years Frame, 2 Years Non-Wearable Partsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/air-cycle-pro
malformed,1,"MCBIAR05","Air Cycle Elite","Cardio","Warranty","","5 Years Frame, 2 Years Non-Wearable Partsmonths","Source reads ""5 Years Frame, 2 Years Non-Wearable Partsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/air-cycle-elite
malformed,1,"MCRWAR01","Air Rower Pro","Cardio","Warranty","","5 Years Frame, 2 Years Non-Wearable Partsmonths","Source reads ""5 Years Frame, 2 Years Non-Wearable Partsmonths"". Fix specification_text, or type the correct value into the discrete field, which overrides it",/product/air-rower-pro
