*Product Code,*Product Description,Notes,Barcode,Unit of Measure,Min Stock Alert Level,Max Stock Alert Level,Label Template,SO Label Template,PO Label Template,SO Label Quantity,PO Label Quantity,Supplier Code,Supplier Name,Supplier Product Code,Default Purchase Price,Minimum Order Quantity,Minimum Sale Quantity,Default Sell Price,Minimum Sell Price,Sell Price Tier 1,Sell Price Tier 2,Sell Price Tier 3,Sell Price Tier 4,Sell Price Tier 5,Sell Price Tier 6,Sell Price Tier 7,Sell Price Tier 8,Sell Price Tier 9,Sell Price Tier 10,Pack Size,Weight,Width,Height,Depth,Reminder,Last Cost,Nominal Cost,Comments,Copy Comments for Sales,Copy Comments for Purchases,Never Diminishing,Product Group,Product Sub Group,Product Brand,Sales Account,COGS Account,Purchase Account,Purchase Tax Type,Purchase Tax Rate,Sales Tax Type,Sale Tax Rate,IsAssembledProduct,IsComponent,IsObsoleted,Is Sellable,Is Purchasable,Default Purchasing Unit of Measure
SEFRACC12,"Modular Storage Rack - Complete (1/Dual Pipe, 3/Flat Shelf)",,SEFRACC12,KG,,,,,,Order Quantity,Order Quantity,,,,,,,679.2700,,441.5300,475.4900,509.4500,543.4200,577.3800,611.3400,679.2700,,,,,110,159.2,11,62,,,,,False,False,No,Equipment Storage,,SNAP,4610,5610,,,,,,No,No,No,Yes,Yes,KG
SEFRDB12,Vertical Dumbbell Rack - 10 Pair (Double Sided) 3.0,,SEFRDB12,KG,,,,,,Order Quantity,Order Quantity,,,,,,,487.2700,,316.7300,341.0900,365.4500,389.8200,414.1800,438.5400,487.2700,,,,,64,165,43,43,,,,,False,False,No,Equipment Storage,,SNAP,4610,5610,,,,,,No,No,No,Yes,Yes,KG
SEFRDB13,Horizontal Dumbbell Rack - 2 Tier (20 Pair),,SEFRDB13,KG,,,,,,Order Quantity,Order Quantity,,,,,,,883.6400,,574.3700,618.5500,662.7300,706.9100,751.0900,795.2800,883.6400,,,,,112,268,30,84,,,,,False,False,No,Equipment Storage,,SNAP,4610,5610,,,,,,No,No,No,Yes,Yes,KG
SFRFRR01-1,Impact Lock Rubber Tiles - 20mm,,SFRFRR01-1,KG,,,,,,Order Quantity,Order Quantity,,,,,,,53.6400,,34.8700,37.5500,40.2300,42.9100,45.5900,48.2800,53.6400,,,,,19,105,2.2,105,,,,,False,False,No,Flooring,,SNAP,4805,5805,,,,,,No,No,No,Yes,Yes,KG
SFRFRR03-1,Impact Lock Rubber Tiles - 30mm,,SFRFRR03-1,KG,,,,,,Order Quantity,Order Quantity,,,,,,,71.8200,,46.6800,50.2700,53.8700,57.4600,61.0500,64.6400,71.8200,,,,,28,105,3.2,105,,,,,False,False,No,Flooring,,SNAP,4805,5805,,,,,,No,No,No,Yes,Yes,KG
SFRFRR04-1,Impact Lock Rubber Tiles - 40mm (500 x 500mm) (4 Tiles),,SFRFRR04-1,KG,,,,,,Order Quantity,Order Quantity,,,,,,,90.0000,,58.5000,63.0000,67.5000,72.0000,76.5000,81.0000,90.0000,,,,,38,105,4.2,105,,,,,False,False,No,Flooring,,SNAP,4805,5805,,,,,,No,No,No,Yes,Yes,KG
SFRFRR05-1,Impact Lock Rubber Tiles - 50mm (500 x 500mm) (4 Tiles),,SFRFRR05-1,KG,,,,,,Order Quantity,Order Quantity,,,,,,,108.1800,,70.3200,75.7300,81.1400,86.5400,91.9500,97.3600,108.1800,,,,,47,105,5.2,105,,,,,False,False,No,Flooring,,SNAP,4805,5805,,,,,,No,No,No,Yes,Yes,KG
SFRFRR07,Acoustic Underlay - 15mm,,SFRFRR07,KG,,,,,,Order Quantity,Order Quantity,,,,,,,400.0000,,260.0000,280.0000,300.0000,320.0000,340.0000,360.0000,400.0000,,,,,14,100,1.7,100,,,,,False,False,No,Flooring,,SNAP,4805,5805,,,,,,No,No,No,Yes,Yes,KG
SFRFRR08,Acoustic Underlay - 20mm,,SFRFRR08,KG,,,,,,Order Quantity,Order Quantity,,,,,,,527.2700,,342.7300,369.0900,395.4500,421.8200,448.1800,474.5400,527.2700,,,,,18,100,2.2,100,,,,,False,False,No,Flooring,,SNAP,4805,5805,,,,,,No,No,No,Yes,Yes,KG
SLLE2501,Linear LED Lighting System - 2.4m,,SLLE2501,EA,,,,,,Order Quantity,Order Quantity,,,,,,,367.2800,,238.7300,257.1000,275.4600,293.8200,312.1900,330.5500,367.2800,,,,,6,243,4.2,18.5,,,,,False,False,No,Lighting,,SNAP,,,,,,,,No,No,No,Yes,Yes,EA
